"NAME:","run_2_2.csv","",""
"EXPERIMENT TIME:","08/06/2023 01:45","",""
"ACTIVITY TYPE:","Running","",""
"COUNT OF ACTUAL STEPS: ","100","",""
"","","",""
"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0","4.04","15.06","-1.73"
"0.07098389","2.12","3.10","-1.80"
"0.14196777","-1.37","0.82","-2.43"
"0.2130127","-3.33","15.26","16.16"
"0.28399658","3.57","8.79","-4.55"
"0.35498047","2.12","18.63","-2.79"
"0.4260254","-0.82","7.69","-2.47"
"0.49700928","-4.47","-0.78","0.39"
"0.56799316","3.88","17.57","3.49"
"0.63897705","-4.47","19.34","-4.12"
"0.710022","6.79","12.43","-2.16"
"0.78100586","0.63","4.82","-0.51"
"0.85198975","-2.31","-0.35","-0.63"
"0.92297363","2.31","20.01","0.04"
"0.99401855","5.61","13.73","-1.14"
"1.0650024","0.24","12.16","-5.61"
"1.1359863","-1.41","0.35","-1.18"
"1.2069702","-0.94","0.63","0.24"
"1.2780151","-2.51","20.01","8.20"
"1.348999","0.00","13.77","-8.90"
"1.4199829","4.08","18.04","-1.22"
"1.4909668","1.49","3.80","-1.49"
"1.5620117","-2.75","0.71","-1.10"
"1.6329956","-1.41","8.55","6.47"
"1.7039795","3.41","14.36","-2.67"
"1.7750244","0.24","18.91","-1.96"
"1.8460083","-2.90","5.61","0.86"
"1.9169922","-2.47","-0.59","-1.45"
"1.9879761","2.51","15.02","8.43"
"2.059021","0.39","12.47","-1.41"
"2.130005","3.61","16.87","0.24"
"2.2009888","0.63","0.27","-1.10"
"2.2719727","-3.69","0.75","0.47"
"2.3430176","-3.26","6.86","6.59"
"2.4140015","0.90","14.59","-1.84"
"2.4849854","-0.12","19.30","-2.16"
"2.5559692","-1.45","0.98","0.71"
"2.6270142","-0.47","1.06","0.31"
"2.697998","0.47","17.02","11.34"
"2.768982","-1.10","13.89","-2.16"
"2.8400269","3.49","16.99","-0.63"
"2.9110107","1.92","1.88","-2.94"
"2.9819946","-3.61","1.88","0.00"
"3.0529785","-0.20","8.43","-5.77"
"3.1240234","-0.59","20.01","2.63"
"3.1950073","2.04","18.20","-4.43"
"3.2659912","-1.65","5.65","0.78"
"3.336975","-2.20","0.75","-0.94"
"3.40802","-5.26","5.10","6.59"
"3.479004","2.31","14.79","-4.28"
"3.5499878","5.02","19.57","2.16"
"3.6209717","-1.37","0.67","-1.57"
"3.6920166","-4.16","2.71","0.75"
"3.7630005","-1.41","13.42","10.67"
"3.8339844","-1.92","13.42","-1.53"
"3.9049683","2.31","18.40","-1.10"
"3.9760132","-3.22","-1.73","-2.39"
"4.046997","-0.59","2.00","2.63"
"4.117981","-0.59","20.01","7.30"
"4.189026","0.20","16.16","-3.18"
"4.26001","4.35","14.63","-1.41"
"4.3309937","0.63","-1.26","-2.31"
"4.4019775","-2.79","1.69","-1.22"
"4.4730225","1.80","20.01","7.41"
"4.5440063","2.08","11.49","-3.30"
"4.61499","-0.31","15.10","-3.73"
"4.685974","-3.14","2.43","0.71"
"4.757019","-1.18","0.43","-0.39"
"4.828003","-1.22","20.01","7.45"
"4.898987","0.16","10.63","-3.88"
"4.9699707","3.33","19.93","-1.77"
"5.0410156","0.27","6.00","-0.51"
"5.1119995","-1.61","1.10","1.41"
"5.1829834","1.06","4.43","-1.33"
"5.2539673","0.24","20.01","-0.51"
"5.325012","3.84","18.67","-3.30"
"5.395996","-2.63","4.98","-0.86"
"5.46698","-2.00","0.55","0.24"
"5.538025","0.31","12.47","7.57"
"5.609009","1.45","12.83","-2.43"
"5.6799927","2.79","17.89","0.24"
"5.7509766","1.02","4.24","-1.80"
"5.8220215","-3.77","1.61","2.47"
"5.8930054","4.00","3.73","5.26"
"5.9639893","-1.22","20.01","0.24"
"6.034973","4.43","19.65","-2.59"
"6.106018","-2.08","4.51","0.24"
"6.177002","-3.06","1.33","-0.98"
"6.247986","-0.12","19.53","6.00"
"6.3189697","-2.00","14.51","-0.78"
"6.3900146","4.63","17.14","-0.55"
"6.4609985","-0.90","0.71","-1.96"
"6.5319824","-3.61","2.00","-0.16"
"6.6030273","4.94","2.98","-2.90"
"6.674011","-3.18","20.01","1.73"
"6.744995","3.14","19.10","-2.71"
"6.815979","-1.61","4.63","-0.55"
"6.887024","-2.71","-0.75","-1.18"
"6.958008","8.63","16.32","13.61"
"7.0289917","0.55","13.61","-1.37"
"7.0999756","1.53","16.40","0.59"
"7.1710205","-0.39","-0.16","-1.88"
"7.2420044","-2.67","2.51","1.18"
"7.3129883","-0.51","9.26","10.75"
"7.383972","-1.49","13.22","-2.98"
"7.455017","2.59","20.01","1.29"
"7.526001","-1.80","-0.39","-2.31"
"7.596985","-2.00","1.73","-1.06"
"7.6679688","-0.90","10.00","10.63"
"7.7390137","2.67","14.71","-2.08"
"7.8099976","4.28","20.01","0.24"
"7.8809814","0.12","3.06","-0.63"
"7.9520264","-2.04","0.35","1.88"
"8.02301","5.14","2.43","-7.18"
"8.093994","-0.78","20.01","-0.12"
"8.164978","5.65","18.24","-0.98"
"8.236023","-5.10","3.92","-0.31"
"8.307007","-1.22","0.82","-0.94"
"8.377991","1.26","17.53","7.37"
"8.448975","1.92","13.42","1.18"
"8.52002","-1.80","20.01","-0.94"
"8.591003","2.55","2.08","2.90"
"8.661987","-1.77","1.26","0.94"
"8.732971","5.92","6.47","4.12"
"8.804016","-3.02","20.01","1.45"
"8.875","6.67","18.28","-3.14"
"8.945984","-1.80","5.26","1.02"
"9.016968","-3.65","0.59","-2.28"
"9.088013","0.59","10.40","12.83"
"9.158997","4.00","14.98","-3.73"
"9.22998","3.88","17.46","2.47"
"9.301025","-1.88","-2.79","-1.29"
"9.372009","-3.37","2.12","1.69"
"9.442993","1.80","12.12","13.02"
"9.513977","-2.71","12.32","-3.18"
"9.940002","4.59","15.34","-0.82"
"10.010986","-1.41","1.77","-0.59"
"10.08197","-3.18","1.92","0.43"
"10.153015","1.69","2.28","5.37"
"10.223999","-0.16","16.20","0.12"
"10.294983","1.53","19.65","0.43"
"10.365967","-2.51","4.04","-0.20"
"10.437012","-4.35","1.26","-0.24"
"10.507996","0.43","0.67","3.18"
"10.5789795","2.20","17.65","-6.90"
"10.650024","4.82","20.01","1.53"
"10.721008","2.00","5.14","1.26"
"10.791992","-3.96","-2.04","1.77"
"10.862976","1.41","-0.31","-1.18"
"10.934021","-3.22","20.01","0.39"
"11.005005","10.43","10.71","-4.35"
"11.075989","-3.80","11.22","-1.80"
"11.146973","-0.31","-1.49","-1.84"
"11.218018","1.88","1.96","0.35"
"11.289001","-2.43","20.01","6.16"
"11.359985","6.20","20.01","-2.47"
"11.430969","5.22","13.73","0.04"
"11.502014","-1.73","-2.63","-1.53"
"11.572998","-1.22","0.94","-0.71"
"11.643982","2.31","2.39","-5.10"
"11.715027","-1.26","20.01","2.47"
"11.786011","4.00","20.01","-0.78"
"11.856995","-1.77","6.94","0.43"
"11.9279785","-1.84","-3.57","0.51"
"11.999023","3.84","0.12","-0.98"
"12.070007","-2.71","14.24","-7.41"
"12.140991","5.61","20.01","-3.18"
"12.211975","4.39","9.41","-1.53"
"12.28302","-0.43","-1.88","1.84"
"12.354004","-0.82","0.59","-0.90"
"12.424988","-2.12","19.93","1.37"
"12.495972","2.55","14.40","-0.43"
"12.567017","-0.12","15.30","-1.26"
