"NAME:","walk_1_1.csv","",""
"EXPERIMENT TIME:","08/06/2023 12:25","",""
"ACTIVITY TYPE:","Walking","",""
"COUNT OF ACTUAL STEPS: ","108","",""
"","","",""
"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0","10.12","10.75","2.59"
"0.07098389","6.59","4.51","-1.14"
"0.14199829","6.94","5.33","3.80"
"0.21298218","5.73","5.73","-0.31"
"0.28399658","4.98","5.65","2.12"
"0.35498047","5.02","6.24","1.84"
"0.42599487","4.35","6.28","2.08"
"0.49697876","6.00","6.79","2.98"
"0.56799316","6.83","6.75","2.51"
"0.63897705","6.98","7.65","4.67"
"0.70999146","10.32","3.14","6.00"
"0.78097534","7.49","7.45","3.30"
"0.85198975","6.12","6.08","1.65"
"0.92297363","5.22","5.18","-0.31"
"0.99398804","4.82","5.10","-0.86"
"1.0650024","5.10","6.12","0.08"
"1.1359863","8.90","7.26","0.00"
"1.2070007","11.06","6.47","3.69"
"1.2779846","3.37","5.22","0.08"
"1.348999","10.32","6.00","0.43"
"1.4199829","4.59","5.73","2.63"
"1.4909973","4.35","4.94","1.77"
"1.5619812","4.35","5.96","1.61"
"2.4140015","2.90","3.65","3.73"
"2.4849854","10.63","5.69","0.04"
"2.5559998","4.16","4.43","1.18"
"2.6269836","4.67","5.06","1.96"
"2.697998","4.63","5.88","1.45"
"2.768982","6.43","6.63","2.82"
"2.8399963","5.77","8.90","2.12"
"2.9109802","4.00","8.90","7.41"
"2.9819946","9.69","1.96","1.41"
"3.0529785","6.47","8.59","4.12"
"3.123993","4.20","5.22","0.47"
"3.1949768","4.51","5.22","-0.47"
"3.2659912","4.35","4.79","-1.65"
"3.336975","4.94","6.12","2.59"
"3.4079895","7.96","11.81","4.71"
"3.479004","5.65","2.94","0.08"
"3.5499878","8.83","5.96","2.43"
"3.6210022","4.82","5.53","1.53"
"3.691986","4.94","5.06","1.73"
"3.7630005","3.69","5.02","0.75"
"3.8339844","6.59","6.32","2.75"
"3.9049988","4.94","8.28","2.55"
"3.9759827","7.53","8.55","6.71"
"4.046997","10.59","2.08","3.10"
"4.117981","6.59","7.88","4.08"
"4.1889954","5.37","5.41","0.94"
"4.2599792","5.57","3.84","-0.59"
"4.3309937","3.88","4.94","-1.14"
"4.4019775","6.47","6.79","0.04"
"4.472992","8.24","12.16","-2.20"
"4.543976","12.55","2.79","0.55"
"4.61499","6.98","7.30","4.79"
"4.685974","7.02","5.02","0.59"
"4.7569885","5.96","4.75","2.63"
"4.828003","3.02","6.16","1.06"
"4.898987","4.86","6.32","1.80"
"4.970001","6.43","6.67","2.59"
"5.040985","7.69","8.79","3.77"
"5.1119995","10.12","2.67","6.12"
"5.1829834","8.90","8.16","3.53"
"5.253998","5.65","5.92","2.20"
"5.3249817","4.59","4.12","-1.84"
"5.395996","4.08","3.80","-1.61"
"5.46698","7.73","5.84","2.82"
"5.5379944","6.59","13.96","-2.04"
"5.6089783","20.01","7.61","8.83"
"5.6799927","4.16","6.04","1.84"
"5.7509766","11.34","6.75","2.63"
"5.821991","4.28","2.63","0.67"
"5.892975","2.43","5.10","1.18"
"5.9639893","5.10","5.96","2.31"
"6.0350037","6.51","5.96","3.26"
"6.1059875","6.12","9.22","3.53"
"6.177002","11.57","2.16","8.00"
"6.247986","9.89","6.71","3.18"
"6.3190002","4.43","6.28","3.18"
"6.389984","5.02","4.55","-4.51"
"6.4609985","4.12","3.84","-1.33"
"6.5319824","8.20","5.92","1.84"
"6.602997","7.53","13.02","-1.45"
"6.6739807","16.95","2.71","3.26"
"6.744995","8.36","6.94","3.80"
"6.815979","7.10","6.32","2.39"
"6.8869934","5.77","4.55","1.33"
"6.9579773","2.28","5.65","1.37"
"7.0289917","5.45","6.16","1.96"
"7.0999756","6.00","6.90","3.18"
"7.17099","7.26","7.92","3.73"
"7.241974","10.98","2.55","5.14"
"7.3129883","7.69","8.39","4.47"
"7.3840027","5.57","5.96","1.49"
"7.4549866","5.57","3.41","0.08"
"7.526001","3.65","4.90","-1.61"
"7.596985","5.92","6.51","0.98"
"7.6679993","8.63","13.18","-2.59"
"8.377991","10.28","6.24","2.79"
"8.448975","4.16","6.51","1.80"
"8.519989","4.39","3.65","-1.53"
"8.591003","4.31","4.59","-1.45"
"8.661987","6.63","8.12","-0.63"
"8.733002","10.71","12.75","-1.69"
"8.803986","15.22","6.98","2.47"
"8.875","5.22","6.71","3.69"
"8.945984","8.79","5.18","0.98"
"9.016998","5.33","3.69","2.35"
"9.087982","3.96","5.30","1.88"
"9.158997","4.24","6.63","1.96"
"9.22998","5.73","6.90","2.90"
"9.300995","6.04","8.83","3.33"
"9.371979","8.67","3.37","7.37"
"9.442993","10.47","6.51","2.43"
"9.513977","4.94","6.39","2.90"
"9.584991","4.39","4.16","-1.10"
"9.655975","3.61","4.47","-1.26"
"9.72699","7.18","7.41","-0.90"
"9.797974","10.16","13.22","-3.22"
"9.868988","20.01","11.41","6.79"
"9.940002","6.12","6.08","3.02"
"10.010986","10.04","5.57","2.47"
"10.082001","3.65","3.14","1.18"
"10.152985","3.02","5.14","1.57"
"10.223999","4.98","6.00","2.55"
"10.294983","5.96","7.22","3.49"
"10.365997","7.41","9.49","3.61"
"10.436981","11.06","2.39","6.51"
"10.507996","10.12","7.02","3.45"
"10.5789795","4.67","5.96","2.31"
"10.649994","5.02","3.02","-0.39"
"10.720978","4.12","4.28","-1.57"
"10.791992","6.47","7.77","-0.43"
"10.862976","10.90","13.73","-2.98"
"10.9339905","19.93","11.77","3.41"
"11.004974","6.24","7.02","4.43"
"11.075989","8.08","4.79","0.63"
"11.147003","5.69","3.41","2.08"
"11.217987","3.84","4.86","1.57"
"11.289001","4.00","6.55","1.53"
"11.359985","6.32","6.94","3.65"
"11.431","7.18","9.89","2.24"
"11.501984","9.73","3.33","7.18"
"11.572998","11.14","5.57","3.30"
"11.643982","4.39","6.43","2.59"
"11.714996","4.82","3.88","-1.88"
"11.78598","4.35","4.16","-1.65"
"11.856995","6.43","7.73","-0.67"
"11.9279785","9.81","12.98","-2.59"
"11.998993","17.34","5.53","-0.90"
"12.069977","5.22","6.94","4.79"
"12.140991","7.69","5.02","0.67"
"12.211975","5.33","4.59","1.49"
"12.2829895","3.65","5.02","2.12"
"12.354004","4.28","5.33","1.18"
"12.424988","5.96","7.41","4.08"
"12.496002","7.26","9.26","2.39"
"12.566986","8.47","3.37","8.43"
"12.6380005","10.47","5.65","3.10"
"12.708984","3.96","6.43","2.79"
"12.779999","5.30","2.86","-2.00"
"12.850983","4.35","4.43","-0.86"
"12.921997","5.53","7.61","-0.98"
"12.992981","11.06","11.06","-0.94"
"13.063995","17.46","8.90","0.94"
"13.134979","5.53","7.06","5.06"
"13.205994","9.45","5.26","1.26"
"13.276978","5.53","4.55","2.67"
"13.347992","3.14","5.92","0.47"
"13.418976","4.75","6.32","1.88"
"13.48999","6.51","7.22","2.71"
"13.560974","7.06","9.02","3.37"
"14.34198","6.00","4.94","2.55"
"14.412994","3.14","5.49","1.06"
"14.483978","5.30","5.84","2.16"
"14.554993","6.71","7.34","3.80"
"14.625977","7.53","8.36","3.10"
"14.696991","9.53","2.71","5.02"
"14.767975","8.16","7.73","3.18"
"14.838989","5.41","6.08","1.96"
"14.910004","4.16","4.71","-1.77"
"14.980988","4.08","3.96","-1.77"
"15.052002","8.00","6.98","-0.51"
"15.122986","4.20","12.32","-1.61"
"15.194","9.85","3.26","-2.16"
"15.264984","8.75","6.28","2.31"
"15.335999","4.82","5.30","1.57"
"15.406982","6.16","5.14","2.16"
"15.477997","3.33","5.73","1.57"
"15.548981","6.43","6.86","1.92"
"15.619995","6.35","7.57","2.82"
"15.690979","8.67","7.96","5.45"
"15.761993","10.16","2.00","2.67"
"15.832977","6.00","8.75","4.08"
"15.903992","6.12","4.71","1.18"
"15.974976","5.06","5.06","-1.14"
"16.04599","4.12","5.10","-1.22"
"16.116974","6.75","7.88","-0.39"
"16.187988","7.53","12.79","-2.47"
"16.259003","19.97","4.63","3.61"
"16.329987","7.14","5.88","2.24"
"16.401001","7.96","6.75","3.18"
"16.471985","5.41","4.16","1.37"
"16.543","2.75","4.67","0.75"
"16.613983","6.00","7.14","1.80"
"16.684998","5.53","7.69","2.55"
"16.755981","8.79","8.16","6.79"
"16.826996","9.41","1.65","3.41"
"16.89798","5.37","9.57","4.28"
"16.968994","5.14","5.02","1.73"
"17.039978","4.55","3.88","-1.37"
"17.110992","3.06","5.45","-1.57"
"17.181976","6.71","4.43","2.51"
"17.25299","0.35","8.94","-2.16"
"17.323975","10.20","2.67","-2.90"
"17.394989","7.96","5.06","1.69"
"17.466003","5.41","6.51","2.31"
"17.536987","6.20","4.16","2.00"
"17.608002","2.35","5.45","1.29"
"17.678986","7.30","7.02","2.67"
"17.75","5.26","8.63","1.73"
"17.820984","7.37","7.34","8.36"
"17.891998","14.36","3.73","2.47"
"17.962982","5.41","8.43","5.14"
"18.033997","5.53","3.69","0.71"
"18.10498","4.16","4.24","-0.43"
"18.175995","3.73","4.94","-1.26"
"18.246979","6.83","5.73","3.92"
"18.317993","2.86","5.14","3.53"
"18.388977","3.88","4.90","3.49"
"18.459991","9.69","5.37","3.22"
"18.530975","1.53","3.69","1.26"
