"NAME:","run3.csv"
"EXPERIMENT TIME:","08/06/2023 11:04"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","165"
""
"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0",".29","4.55","8.20"
"0.099998474",".55","5.18","8.43"
"0.20999908",".16","5.69","9.18"
"0.31000137",".78","5.57","9.10"
"0.40999985",".53","5.81","13.57"
"0.51000214",".37","3.37","1.45"
"0.6100006","0.94","18.01","15.77"
"0.7099991",".20","10.12","13.42"
"0.8199997",".53","-3.77","-1.37"
"0.920002",".53","1.96","10.63"
"1.0200005",".27","12.63","9.77"
"1.1199989",".10","-4.98","3.80"
"1.2299995",".06","5.84","2.86"
"1.3300018",".20","19.30","20.01"
"1.4300003","0.98","-1.77","2.59"
"1.5299988","2.67","1.49","-0.12"
"1.6300011",".10","11.96","19.18"
"1.7400017","5.33","5.14","8.71"
"1.8400002","3.06","-0.20","1.41"
"1.9399986","4.55","20.01","16.12"
"2.040001","-0.59","0.94","6.75"
"2.1399994",".18","-7.96","-5.96"
"2.25",".37","16.04","19.69"
"2.3499985","-2.00","5.61","9.49"
"2.4500008",".47","-7.85","-5.73"
"2.5499992","4.20","-5.96","13.73"
"2.6500015",".49","4.31","6.28"
"2.7600021",".77","-6.08","-1.10"
"2.8600006","2.63","-6.98","-9.65"
"2.959999","0.08","-5.49","7.10"
"3.0600014","9.14","-7.61","-2.00"
"3.1599998",".26","-2.04","7.45"
"3.2700005",".55","19.97","12.67"
"3.369999","1.26","-0.78","6.39"
"3.4700012",".43","-16.59","9.49"
"3.5699997",".71","12.00","19.81"
"3.670002",".75","1.53","5.02"
"3.7799988","2.79","-1.88","10.67"
"3.880001","1.80","-7.30","-19.89"
"3.9799995","-1.45","6.20","10.98"
"4.080002","3.14","-9.69","-5.77"
"4.1800003",".75","9.49","7.65"
"4.279999",".20","10.63","8.83"
"4.3899994",".41","-5.65","-2.28"
"4.4900017",".53","-1.69","8.83"
"4.59",".10","17.26","19.61"
"4.6899986","3.88","-4.90","0.98"
"4.799999",".43","-5.02","5.69"
"4.9000015","2.67","8.94","19.69"
"5.0",".22","3.37","0.12"
"5.0999985","0.55","-1.37","1.22"
"5.200001","6.28","-9.96","20.01"
"5.3100014","7.57","3.49","3.92"
"5.41",".96","-15.97","-7.14"
"5.510002",".18","1.96","11.49"
"5.6100006","2.71","11.26","8.08"
"5.709999","6.08","-4.90","0.39"
"5.8199997",".35","-0.47","8.32"
"5.920002",".26","18.55","20.01"
"5.9799995","5.02","-4.12","-3.73"
"6.119999",".92","-8.43","8.90"
"6.220001",".51","16.99","14.47"
"6.330002",".73","-2.67","0.16"
"6.4300003","0.98","15.89","-13.61"
"6.529999","3.06","20.01","6.04"
"6.630001","4.47","-0.82","-0.04"
"6.7299995",".80","-12.28","-2.75"
"6.84",".14","3.30","20.01"
"6.9399986",".35","5.14","4.59"
"7.040001",".57","-4.28","-2.16"
"7.1399994",".75","2.75","11.38"
"7.2400017",".55","9.89","19.10"
"7.3499985","2.35","-1.84","-3.57"
"7.450001",".47","-20.01","12.08"
