NAME:,run4.csv,,
EXPERIMENT TIME:,8/06/2023 12:02,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,135,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,1.14,-4.04,-9.3
0.099999905,1.06,-3.92,-9.02
0.2099998,1.14,-3.88,-9.26
0.30999994,0.98,-3.69,-9.14
0.40999985,-1.02,-3.77,-9.18
0.51,0.9,-4.12,-9.65
0.6199999,-1.1,-4.16,-9.34
0.7199998,1.45,-4.43,-8.24
0.81999993,1.96,-3.22,-5.02
0.91999984,-3.41,-6.86,-5.49
1.02,-4.39,-10.51,-10.32
1.1300001,5.26,-9.18,-7.14
1.23,4.71,-7.61,-5.45
1.3299999,-5.14,-8.08,-5.61
1.4299998,7.73,-9.34,-5.96
1.5299997,9.73,-11.69,-4.24
1.6399999,2.28,-5.84,-3.02
1.7399998,0.61,-2.16,-2.24
1.8399997,-2.43,-9.06,-5.37
1.94,-6.71,-18.12,-10.98
2.04,5.41,-9.57,-6.39
2.1399999,2.31,-3.18,-0.63
2.25,2.98,-2.12,-0.94
2.35,7.81,-11.65,-6.32
2.4499998,4.82,-11.53,-9.57
2.5499997,-0.55,-5.57,-2.47
2.65,0.02,-2.63,-0.9
2.7599998,0.31,-11.22,-4.59
2.8600001,10.08,-15.65,-7.57
2.96,4.75,-3.41,-1.88
3.06,1.96,1.29,2.08
3.17,7.34,-9.06,-6.16
3.27,-5.57,-10.08,-8.51
3.37,0.47,-6.83,-2.24
3.4699998,0.98,2.75,1.77
3.5699997,5.37,-8.08,-1.8
3.6799998,9.41,-11.34,-4.2
3.7799997,3.8,-12.98,-2.12
3.88,3.61,-1.22,3.3
3.98,6.55,-6.28,3.3
4.08,-7.81,-11.53,-9.18
4.18,0.98,-4.59,-6.51
4.29,0.39,2.04,6.63
4.39,4.28,-7.65,-0.16
4.49,-4.51,-11.73,-9.1
4.5899997,-2.51,-10.87,-3.53
4.69,-1.84,3.06,6.63
4.7999997,5.61,-8.75,6.32
4.9,-7.45,-10.79,-9.22
5,1.41,-4.75,-6.43
5.1,-0.39,3.61,6.9
5.2099996,-6.71,-12.87,0.43
5.31,5.69,-13.38,-7.57
5.4100003,1.88,-6.2,-0.12
5.5099998,1.02,-5.1,-0.12
5.61,-11.02,-12.12,-2.16
5.72,5.33,-17.97,-8.2
5.82,0.43,1.26,-9.65
5.9199996,0.35,-2.86,0
6.02,14.59,-17.26,2.82
6.1200004,4.35,-11.22,-4.04
6.23,0.37,-7.77,-7.26
6.3299994,3.14,-4.98,-3.33
6.43,12.32,-17.73,-2.04
6.53,6.71,-12.08,-5.57
6.6299996,0.9,-1.14,-0.51
6.7400002,1.92,-0.24,-1.61
6.8399997,14.71,-19.22,2.39
6.94,6.28,-10.2,-5.37
7.0399995,2.12,-3.88,-4.04
7.14,3.92,-5.02,-0.55
7.2499995,13.42,-14.91,-2.08
7.35,-6.12,-14.98,-8.08
7.4500003,3.65,0.51,-4.63
7.5499997,2.51,-1.57,-1.73
7.65,-16.12,-16.08,1.18
7.7599998,7.02,-14.87,-8.71
7.86,3.65,-5.96,-6.98
7.9599996,1.73,-3.1,-4.39
8.059999,-13.65,-14.59,-1.57
8.16,-7.88,-18.04,-7.02
8.26,0.31,-0.2,-8.47
8.370001,1.96,-0.47,-1.53
8.469999,-13.61,-19.81,2.63
8.57,8.12,-11.49,-8
8.67,1.29,-5.02,-4.94
8.780001,1.65,-1.61,-3.53
8.879999,16.28,-19.97,0.47
8.98,-9.14,-18.95,-6.55
9.08,0.24,-0.51,-7.45
9.18,0.35,1.77,4.35
9.289999,-16.28,-19.81,6.39
9.389999,5.65,-11.45,-2.82
9.49,-1.84,-9.02,-4.71
9.59,-1.14,-0.47,-3.18
9.690001,-9.45,-19.46,1.8
9.799999,11.45,-16,-7.53
9.9,0.04,-1.14,-4.35
10,1.06,5.37,9.61
10.1,7.37,-20.01,-2.04
10.200001,-5.22,-15.73,-10.04
10.309999,4,-9.06,-7.69
10.41,0.24,1.1,1.33
10.51,9.96,-15.06,-2.2
10.610001,-12.08,-18.28,-11.89
10.709999,0,0.31,-3.26
10.82,-0.75,0.63,4.79
10.92,12.43,-19.93,3.06
11.02,7.69,-14.04,-13.42
11.120001,-2.2,-6.32,-3.02
11.219999,0.55,-0.24,1.88
11.33,12.59,-15.22,-1.1
11.43,-11.41,-14,-7.41
11.530001,2.43,2.24,-2.86
11.629999,-0.16,3.02,3.96
11.73,-12.87,-19.34,3.18
11.84,5.06,-12.32,-9.14
11.940001,-1.18,-8.59,-2.43
12.039999,0.35,-1.41,-0.78
12.139999,-12.2,-14.28,0
12.24,10.04,-16.36,-12.32
12.35,1.61,0.71,-6.51
12.450001,0.2,0.86,-0.04
12.549999,11.65,-20.01,-4.71
12.65,3.96,-12.28,-12.36
12.75,-1.53,-6.71,-6.35
12.860001,0.67,0.39,-1.96
12.959999,10.9,-13.3,-1.29
13.059999,9.61,-17.22,-8.16
13.16,0.53,0.43,-8.2
13.26,0.26,2.79,2.28
13.360001,9.92,-20.01,-5.06
13.470001,5.22,-16.4,-14.95
13.57,4.55,-10.51,-6.79
13.67,-0.04,4.75,2.67
13.77,9.96,-16.95,2.55
13.870001,-5.92,-15.06,-4.59
13.98,1.37,3.26,-5.96
14.08,0.53,-0.47,-0.31
14.18,-13.57,-19.22,3.69
14.280001,6.39,-12.91,-13.06
14.380001,6.51,-8.36,-8.94
14.49,2.67,-0.2,-5.3
14.59,-12.75,-15.34,-2.31
14.690001,-5.18,-14.51,-8.47
14.790001,0.51,0.12,-6.9
14.9,2.79,-1.37,-4.04
15,11.85,-17.22,3.73
15.1,-6.9,-11.1,0.35
15.200001,-3.77,-1.84,-6.35
15.300001,6.59,-5.65,-4.9
15.4,-13.14,-15.93,-6.2
15.51,7.14,-13.61,-3.84
15.610001,0.39,0.9,-2.51
15.710001,-3.84,-5.45,1.41
15.809999,10.59,-11.34,-0.55
15.92,7.37,-12.12,2.63
16.02,-3.06,-0.82,-3.33
16.12,4.82,-5.18,0.43
16.220001,12.4,-10.47,-6.59
16.32,2.86,-10.24,-1.96
16.42,1.88,2.35,2.79
16.53,2.31,-6.67,1.88
16.630001,10.63,-13.77,-1.53
16.73,4.75,-10.4,-5.22
16.83,-3.3,-1.69,-0.12
16.93,-9.3,-4.43,2.35
17.04,13.61,-14.59,-4.47
17.140001,-0.71,-8,-2
17.24,0.14,2.47,2.24
17.34,-4.82,-7.96,3.22
17.44,-9.53,-10.2,-6.98
17.550001,-7.14,-11.73,-2.98
17.65,2.43,1.41,4.04
17.75,0.9,-6.24,0.47
17.85,11.18,-8.47,-6.35
17.95,0.86,-7.34,0.71
18.06,0.86,2.43,1.22
18.16,6.71,-9.57,-0.55
18.26,-7.14,-10.16,-7.22
18.36,3.33,-9.85,-3.84
18.460001,-1.33,1.77,1.8
18.57,7.3,-13.69,-2.28
18.67,9.22,-10.08,-9.85
18.77,7.41,-9.38,-4.75
18.87,-1.77,-1.06,-2.63
18.970001,4.55,-3.57,-2.04
19.08,8.28,-8,-3.3
19.18,3.88,-10.08,-3.02
19.28,3.92,-0.67,-0.82
19.380001,-12.12,-6.12,-1.06
19.49,-10.51,-8.71,-11.02
19.59,4.75,-9.14,-4.16
19.69,0.63,-0.94,-4.98
19.79,-5.14,-3.49,0.71
19.890001,-10.71,-14.2,-3.37
19.99,-5.06,-10.55,-1.06
20.1,4.28,-5.84,-7.53
20.2,3.26,-2.94,-3.14
20.300001,13.3,-15.49,-2.82
20.4,8.67,-12.04,-5.26
20.51,2.67,-3.96,-5.26
20.61,0.75,0.51,0.04
20.710001,8.32,-12.28,0.08
20.81,6.28,-12.55,-7.77
20.91,5.14,-7.77,-2.08
21.01,3.84,-2.94,-0.31
21.12,12.87,-6.43,1.92
21.220001,10.2,-10.47,-6.08
21.32,7.18,-12.63,-5.45
21.42,0.82,-0.86,-3.65
21.52,2.67,-1.57,-1.65
21.630001,14.16,-14.91,1.49
21.73,6.39,-11.57,-2.59
21.83,-3.61,-4.24,-6.47
21.93,1.49,-1.88,-1.53
22.03,17.06,-20.01,0.24
22.140001,8.32,-12.75,-8.51
22.24,0.82,1.73,-6.9
22.34,1.57,-2.82,-1.22
22.44,-15.53,-20.01,-18.59
22.54,-3.73,-12.47,-14.63
22.65,-3.61,-5.37,-9.49
22.75,-1.33,-2.43,0.98
22.85,-18.71,-20.01,-4.79
22.95,7.73,-12.98,-6.83
23.050001,6.08,3.88,-2.51
23.16,0.86,-2.08,2.04
23.26,13.57,-20.01,4.67
23.36,-3.3,-10.71,-13.73
23.460001,-4.67,-3.73,-5.41
23.56,-2.55,-0.9,-1.22
23.67,-16.24,-15.89,1.61
23.77,-7.57,-13.93,-3.84
23.87,0.65,-0.55,-6.32
23.970001,3.73,-4.2,0.39
24.08,10.04,-16.32,-0.63
24.18,4.24,-10.36,-2.31
24.28,4.39,-1.69,-4.86
24.380001,4.28,-9.34,-1.8
24.48,11.89,-12.79,-6.16
24.58,-5.53,-15.89,-2.47
24.69,0.92,3.14,2.59
24.79,5.49,-11.1,-2.9
24.890001,7.85,-9.69,0.31
24.99,3.3,-8.83,-1.84
25.1,0.49,-4.63,-1.33
25.2,7.49,-0.63,-5.37
25.300001,0.12,0.08,-9.3
25.4,0.73,2.94,-0.9
25.5,1.14,3.92,2.86
25.6,1.84,-7.41,-6.51
25.710001,0.22,-11.26,-15.77
25.81,-1.06,-11.38,-5.77
25.91,8.75,2.59,10.36
26.01,8.39,-20.01,-6.43
26.11,3.88,-11.06,-5.33
26.220001,1.49,-2.47,-4.08
26.32,0.98,0.51,-0.35
26.42,5.92,-20.01,-11.22
26.52,-0.59,-13.14,-17.02
26.62,0.39,-5.65,-6.28
26.73,-1.88,0,2.51
26.83,12.12,-18.04,-4.51
26.93,5.53,-17.65,-7.61
27.03,0.9,0.78,-2.59
27.130001,1.8,-2.98,-5.02
27.24,16.32,-15.65,8.08
27.34,-2.55,-10.4,-12.91
27.44,-2.31,-2.63,-4.59
27.54,9.02,-8.94,-4.24
27.65,-11.14,-12.59,-9.92
