"NAME:","walk5.csv"
"EXPERIMENT TIME:","08/06/2023 10:56"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","102"
""
"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0","1.96","4.59","-7.34"
"0.10000038","2.82","5.81","-7.69"
"0.19999981","3.10","7.34","-9.53"
"0.3000002",".80","2.67","-10.75"
"0.40999985",".16","-0.08","-7.49"
"0.5100002","0.43","4.35","-9.02"
"0.6100006","1.53","3.37","-8.08"
"0.71000004","4.28","2.59","-10.08"
"0.8100004","5.92","8.55","-15.22"
"0.9200001","2.94","5.69","-12.32"
"1.0200005",".43","1.37","-12.08"
"1.1199999","2.82","6.71","-11.96"
"1.2200003","-1.57","2.39","-6.16"
"1.3199997","1.77","5.02","-7.53"
"1.4300003","0.75","4.35","-5.26"
"1.5299997","3.69","11.69","-9.02"
"1.6300001","8.63","4.75","-0.98"
"1.7300005",".26","-0.12","-9.61"
"1.8299999","0.35","5.14","-7.49"
"1.9400005","1.80","2.90","-8.71"
"2.04","-2.04","2.24","-10.08"
"2.1400003","-3.41","6.00","-9.14"
"2.2399998","0.27","2.08","-14.32"
"2.3400002","-0.94","8.00","-7.96"
"2.4499998","-1.02","2.63","-9.45"
"2.5500002","0.12","2.71","-7.30"
"2.6500006","-2.59","6.98","-6.55"
"2.75","3.22","13.22","-7.41"
"2.8500004","0.16","5.73","-9.89"
"2.96","4.24","2.12","-10.20"
"3.0600004","0.59","5.10","-7.26"
"3.1599998","3.80","2.90","-8.00"
"3.2600002","-3.10","2.82","-9.92"
"3.3600006","-1.37","4.63","-19.77"
"3.4700003","-0.08","0.90","-14.36"
"3.5699997","4.82","7.26","-12.00"
"3.67","1.61","3.41","-2.16"
"3.7700005","0.94","4.31","-7.34"
"3.87","1.88","5.53","-6.94"
"3.9800005","4.12","9.49","-12.32"
"4.08","1.49","10.83","-5.41"
"4.1800003","0.47","4.59","-9.41"
"4.2799997","-1.73","2.35","-7.49"
"4.38","4.98","3.84","-7.65"
