"NAME:","run_5_3.csv"
"EXPERIMENT TIME:","08/06/2023 10:51"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","147"
""
"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0","-2.08","-1.8","-7.61"
"0.097","-0.24","-3.45","-20.01"
"0.196","0.24","-5.77","-12.32"
"0.765","-1.49","-3.22","-7.69"
"1.264","-2.9","-3.77","-15.81"
"1.271","1.8","-3.88","-5.33"
"1.277","0.82","-3.22","-5.02"
"1.284","-0.98","-0.31","-20.01"
"1.292","-3.88","-0.08","-9.53"
"1.305","-2.71","0.55","-2.47"
"1.313","-4.82","-0.12","-4.67"
"1.319","-3.41","-1.14","-20.01"
"1.409","-0.67","-2.63","-12.75"
"1.515","1.45","-1.53","-4.04"
"1.611","0.35","-0.75","-7.37"
"1.714","1.33","4.55","-20.01"
"1.817","-2.31","-0.82","-7.85"
"1.924","-4.86","1.14","-5.77"
"2.024","-7.53","-1.65","-8.28"
"2.13","-6.0","-0.12","-19.18"
"2.233","0.27","-2.55","-7.88"
"2.327","2.59","-1.8","-5.92"
"2.427","0.98","2.04","-20.01"
"2.53","-2.71","-0.24","-14.16"
"2.636","-3.73","0.08","-6.28"
"2.732","-3.33","0.98","-7.57"
"2.83","-4.82","1.84","-15.53"
"2.916","-2.55","-1.73","-13.1"
"3.023","1.37","-1.92","-3.53"
"3.129","4.51","-0.55","-7.06"
"3.241","3.14","-2.35","-17.53"
"3.344","-4.47","-1.49","-8.28"
"3.435","-3.53","1.73","-4.63"
"3.547","-5.61","1.53","-9.89"
"3.652","-3.06","-2.75","-19.14"
"3.729","0.04","-1.45","-5.61"
"3.855","2.0","0.78","-8.79"
"3.961","3.49","1.37","-11.73"
"4.038","-3.14","0.31","-20.01"
"4.186","-2.2","2.63","-6.98"
"4.237","-4.98","0.59","-4.67"
"4.344","-2.86","3.8","-9.96"
"4.446","-2.2","1.37","-17.57"
"4.567","-0.67","-1.06","-8.43"
"4.643","2.24","-1.49","-7.69"
"4.744","0.51","-1.92","-14.2"
"4.868","-2.9","-2.04","-8.43"
"4.944","-5.53","0.86","-5.65"
"5.043","-2.79","3.96","-9.3"
"5.151","-4.2","-0.71","-17.1"
"5.248","-1.22","-0.86","-9.96"
"5.349","1.41","-0.78","-6.83"
"5.46","4.55","1.8","-16.75"
"5.56","-0.9","0.98","-18.08"
"5.662","-6.79","-1.41","-5.3"
"5.752","-4.24","-1.8","-5.45"
"5.879","-5.61","2.08","-12.51"
"5.957","-5.18","1.88","-20.01"
"6.087","-0.35","-3.06","-8.87"
"6.165","1.92","-0.55","-5.61"
"6.274","3.57","-0.51","-16.71"
"6.759","-2.63","-0.98","-15.85"
"6.766","-3.65","0.08","-4.08"
"6.775","-5.18","1.29","-7.14"
"6.782","-4.43","-1.37","-14.79"
"6.801","-0.94","-0.55","-10.28"
"6.871","-0.67","-2.67","-4.12"
"6.98","1.02","-1.37","-7.88"
"7.074","-3.77","-0.75","-20.01"
"7.166","-1.69","-0.12","-7.53"
"7.275","-3.41","0.04","-4.51"
"7.381","-3.1","4.75","-9.14"
"7.48","-6.47","-2.35","-20.01"
"7.587","0.24","-0.98","-3.69"
"7.687","2.86","1.61","-9.22"
"7.774","0.55","-0.27","-16.04"
"7.888","-2.28","-0.78","-16.87"
"7.994","-3.61","-1.18","-3.14"
"8.09","-3.02","0.04","-7.96"
"8.191","-3.96","1.29","-13.18"
"8.297","-0.27","-0.2","-11.3"
"8.397","1.45","0.16","-7.77"
"8.493","2.9","-1.73","-6.28"
"8.596","1.49","-5.61","-13.69"
"8.694","-2.59","-2.39","-11.06"
"8.793","-3.88","-2.12","-5.65"
"8.902","-4.28","0.67","-6.86"
"8.998","-1.26","-1.61","-20.01"
"9.101","-1.53","-0.47","-10.04"
"9.204","2.16","-0.9","-8.0"
"9.309","2.35","0.04","-17.85"
"9.405","-2.47","1.49","-18.87"
"9.5","-2.86","-0.04","-4.04"
"9.647","-3.53","2.75","-9.02"
"9.695","-4.71","0.51","-11.22"
"9.808","-2.75","1.45","-16.48"
"9.911","1.57","-2.79","-8.47"
"10.016","2.08","-2.98","-6.47"
"10.117","-0.98","0.12","-16.08"
"10.193","-3.02","-1.57","-15.3"
"10.302","-5.49","-2.47","-7.22"
"10.42","-3.96","2.55","-7.85"
"10.522","-3.33","-1.88","-16.44"
"10.618","-3.45","-0.55","-9.45"
"10.722","0.04","-2.31","-4.94"
"10.805","1.33","-0.08","-10.55"
"10.903","-2.71","-0.9","-17.85"
"11.012","-2.9","0.04","-7.34"
"11.112","-3.41","-0.63","-3.57"
"11.21","-4.08","1.61","-6.16"
"11.328","-4.79","-1.22","-20.01"
"11.408","0.12","-3.77","-7.85"
"11.53","2.86","-1.14","-3.65"
"11.63","2.16","1.06","-11.14"
"11.728","0.0","1.77","-20.01"
"12.258","-2.12","-0.94","-5.96"
"12.764","-4.08","-0.39","-6.04"
"12.774","-5.69","0.67","-8.79"
"12.782","-3.41","1.33","-20.01"
"12.79","-0.47","-1.22","-9.73"
"12.798","3.18","0.0","-10.24"
"12.814","3.02","1.18","-14.67"
"12.822","-2.39","1.77","-18.48"
"12.828","-2.0","0.31","-6.0"
"12.835","-3.49","1.61","-7.61"
"12.848","-6.98","-2.12","-12.91"
"12.935","-1.33","0.04","-12.28"
"13.037","2.12","-1.53","-4.59"
"13.145","1.92","0.08","-11.06"
"13.248","0.27","0.51","-16.71"
"13.346","-1.22","-1.49","-8.0"
"13.438","-4.79","-1.26","-5.92"
"13.544","-4.2","1.06","-8.2"
"13.647","-2.98","-1.06","-20.01"
"13.751","-2.0","-2.63","-10.28"
"13.831","-0.04","-4.35","-5.69"
"13.93","2.79","0.31","-12.28"
"14.037","-2.28","-1.92","-17.53"
"14.136","-3.1","-0.78","-7.41"
"14.237","-2.71","1.88","-7.14"
"14.34","-4.75","-0.63","-9.02"
"14.449","-1.73","2.24","-18.91"
"14.552","-1.26","-0.08","-11.57"
"14.648","3.18","-0.9","-9.22"
"14.74","0.27","2.79","-13.73"
"14.842","-2.59","-0.71","-15.77"
"14.948","-1.29","0.94","-5.96"
"15.057","-3.73","1.14","-6.04"
"15.171","-2.31","-2.47","-12.28"
"15.254","-0.59","-3.41","-11.14"
"15.355","0.94","-3.45","-4.51"
"15.454","2.08","-0.47","-7.92"
"15.558","2.71","-0.51","-13.69"
"15.661","-6.39","-1.65","-13.06"
"15.767","-4.94","-0.63","-6.9"
"15.869","-5.18","1.53","-9.45"
"15.968","-2.35","-1.41","-15.26"
"16.068","-2.43","-3.18","-9.34"
"16.183","1.06","-2.59","-9.57"
"16.283","0.35","-2.08","-8.0"
