"NAME:","walk_2_1.csv"
"EXPERIMENT TIME:","08/06/2023 09:17"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","100"
""
"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0","0.43","-9.73","-3.3"
"0.067","1.41","-9.45","-3.45"
"0.169","1.61","-9.34","-2.94"
"0.27","0.04","-10.28","-2.59"
"0.373","0.86","-8.2","-2.71"
"0.474","0.0","-10.47","-2.63"
"0.57","2.0","-11.02","-3.96"
"0.677","0.82","-10.75","-3.84"
"0.793","0.9","-9.14","-4.39"
"0.892","0.59","-8.98","-5.1"
"0.993","-0.39","-7.73","-3.77"
"1.08","0.43","-7.69","-3.77"
"1.186","0.31","-9.1","-3.61"
"1.297","0.39","-10.28","-2.94"
"1.38","1.57","-12.59","-4.86"
"1.503","1.29","-11.26","-5.69"
"1.601","0.55","-6.47","-2.71"
"1.683","0.94","-8.36","-3.37"
"1.787","0.47","-8.08","-3.41"
"1.885","1.18","-10.67","-3.77"
"1.986","0.71","-12.04","-4.24"
"2.105","2.16","-9.85","-6.08"
"2.209","0.31","-6.98","-4.79"
"2.286","-0.04","-7.26","-2.98"
"2.398","1.02","-8.04","-3.92"
"2.496","0.43","-10.04","-2.9"
"2.598","1.02","-11.65","-3.8"
"2.701","1.14","-10.9","-6.47"
"2.802","1.61","-7.06","-4.98"
"2.899","0.98","-6.94","-3.8"
"2.998","1.18","-8.2","-3.22"
"3.103","1.88","-10.36","-4.24"
"3.21","-1.14","-12.63","-3.65"
"3.314","3.14","-9.92","-7.45"
"3.414","0.16","-6.9","-4.12"
"3.517","0.71","-7.26","-3.14"
"3.617","0.39","-8.2","-3.61"
"3.724","0.0","-9.45","-2.94"
"3.826","0.31","-12.83","-4.28"
"3.921","2.51","-10.71","-5.84"
"4.023","1.18","-7.65","-3.53"
"4.127","0.67","-8.39","-3.41"
"4.207","0.35","-8.04","-2.51"
"4.312","1.22","-10.24","-3.73"
"4.411","1.73","-13.1","-5.41"
"4.516","0.0","-10.28","-3.92"
"4.617","-0.12","-7.37","-4.2"
"4.724","0.35","-7.26","-3.3"
"4.826","0.82","-8.87","-3.61"
"4.93","0.98","-10.04","-3.65"
"5.411","1.33","-11.34","-3.45"
"5.419","0.67","-10.79","-4.94"
"5.431","1.49","-7.37","-3.61"
"5.438","0.71","-7.14","-3.49"
"5.459","-0.12","-8.16","-2.94"
"5.524","0.94","-11.38","-4.24"
"5.627","2.51","-13.3","-6.43"
"5.862","0.04","-9.61","-5.33"
"5.871","-0.16","-6.67","-3.06"
"5.96","0.47","-7.77","-3.14"
"6.061","0.82","-8.83","-2.82"
"6.143","1.06","-12.04","-4.43"
"6.26","2.2","-11.1","-5.3"
"6.362","0.78","-8.28","-4.24"
"6.461","0.39","-6.86","-3.41"
"6.561","0.39","-7.73","-2.9"
"6.636","0.9","-9.81","-3.02"
"6.747","0.75","-11.81","-4.82"
"6.85","0.08","-12.59","-5.06"
"6.952","0.12","-6.71","-4.43"
"7.039","0.2","-6.51","-3.53"
"7.135","0.63","-8.0","-3.65"
"7.239","0.43","-10.71","-3.37"
"7.339","0.43","-11.89","-3.1"
"7.44","2.51","-11.26","-5.61"
"7.561","1.45","-7.34","-3.96"
"7.646","0.08","-8.0","-2.98"
"7.75","0.24","-8.71","-3.02"
"7.86","0.67","-9.69","-3.37"
"7.947","0.24","-12.04","-4.28"
"8.054","-0.12","-12.47","-4.79"
"8.217","0.47","-7.37","-3.69"
"8.305","-0.12","-7.65","-2.43"
"8.42","0.35","-7.92","-2.67"
"8.518","0.51","-11.18","-3.1"
"8.61","1.65","-12.91","-4.75"
"8.658","1.26","-10.47","-4.82"
"8.832","1.61","-6.71","-4.16"
"8.92","0.71","-6.67","-3.14"
"9.02","-0.12","-9.18","-2.39"
"9.05","0.2","-11.61","-4.12"
"9.161","1.41","-10.94","-5.61"
