NAME:,walk_4_1.csv,,
EXPERIMENT TIME:,05/06/2023 20:33,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,108,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,6.35,-5.3,-5.96
0.041,6.24,-5.33,-6.04
0.082,6.24,-5.41,-6
0.123,6.35,-5.18,-6
0.164,6.39,-5.26,-6
0.205,6.28,-5.37,-6.12
0.246,6.08,-5.33,-6.08
0.287,6.47,-5.45,-6.28
0.328,6.28,-5.45,-6.47
0.369,5.96,-5.26,-6.2
0.41,6.24,-5.14,-6.28
0.451,7.06,-5.18,-6.08
0.492,6.51,-4.39,-6.47
0.533,6.28,-4.12,-5.88
0.574,6.04,-4.9,-6.39
0.61,5.96,-5.77,-6.39
0.738,6.51,-5.14,-6.98
0.897,8.47,-4.9,-6.55
1.107,8.75,-4.12,-4.75
1.148,7.06,-4.35,-4.67
1.189,5.41,-4.35,-4.12
1.23,5.84,-5.18,-4.47
1.271,8.08,-6.35,-4.9
1.312,8.79,-5.1,-4.86
1.353,9.65,-4.08,-7.85
1.394,11.96,-6.12,-9.22
1.435,5.96,-5.61,-10.75
1.476,1.53,-4.39,-8.24
1.517,1.37,-6,-5.14
1.558,5.33,-5.69,-7.45
1.599,9.02,-7.18,-6.2
1.64,6.83,-3.49,-7.73
1.681,5.92,-1.41,-5.1
1.722,3.37,-2.59,-3.49
1.763,2.35,-3.41,-3.65
1.804,3.88,-4.86,-3.73
1.845,5.1,-6.59,-6
1.886,6.9,-7.65,-6.39
1.927,8.32,-8.63,-5.77
1.968,9.14,-7.73,-3.1
2.009,8.59,-7.34,-11.77
2.05,3.49,-8.39,-14.47
2.091,3.33,-5.77,-8
2.132,4.71,-2.59,-6.55
2.173,1.57,-3.1,-6.39
2.214,4.35,-5.81,-7.69
2.255,4.82,-7.3,-5.3
2.296,4.79,-3.26,-6.94
2.337,6.08,-2.28,-5.1
2.378,8.55,-2.59,-4.24
2.419,7.96,-2.59,-4.28
2.46,5.57,-2.94,-4.08
2.501,7.41,-5.14,-5.14
2.542,9.96,-8.47,-4.86
2.583,7.92,-7.53,-11.18
2.624,8.75,-4.9,-12.75
2.665,5.06,-6.35,-14.71
2.706,5.14,-7.34,-9.1
2.747,4.9,-4.28,-6.04
2.788,5.02,-3.3,-5.1
2.829,3.96,-3.14,-3.84
2.87,3.77,-1.77,-4.08
2.911,2.59,-1.8,-2.86
2.952,3.49,-3.65,-2.08
2.993,6.94,-7.22,-4.9
3.034,5.61,-7.14,-8.47
3.075,10.04,-10.2,-6.39
3.116,10.71,-11.3,-8.12
3.157,3.65,-7.81,-18.51
3.198,3.37,-6.67,-10.9
3.239,3.33,-1.37,-6.67
3.28,2.08,-0.31,-4.9
3.321,1.29,-3.14,-7.61
3.362,7.61,-6.35,-5.92
3.403,7.65,-5.37,-6.98
3.444,5.73,-2.71,-4.86
3.485,5.69,-1.53,-4.08
3.526,6.63,-2.9,-3.49
3.567,6.94,-4.67,-5.45
3.608,9.1,-7.41,-7.69
3.649,9.65,-7.96,-5.33
3.69,8.24,-5.69,-12.28
3.731,5.73,-4.16,-13.96
3.772,5.18,-9.18,-11.1
3.813,5.3,-7.18,-8.08
3.854,5.41,-4.35,-6.2
3.895,4.04,-0.98,-4.28
3.936,4.08,-1.73,-2.35
3.977,4.47,-1.14,-2.55
4.018,3.3,-2.24,-2.75
4.059,5.92,-4.04,-3.41
4.1,7.85,-6.59,-6.67
4.141,8.2,-8.94,-12.91
4.182,9.77,-14.24,-7.18
