,walk_5_1.csv,,
EXPERIMENT TIME:,05/06/2023 20:34,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,98,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,5.88,-5.22,-6.86
0.041,6.12,-5.26,-6.47
0.082,6.28,-5.18,-6.63
0.123,5.49,-4.59,-6.12
0.164,5.65,-4.43,-6.67
0.205,7.1,-5.22,-6.86
0.246,6.35,-4.31,-6.51
0.287,6.28,-4.59,-6.67
0.328,6.98,-5.92,-6.12
0.369,5.57,-5.1,-6.63
0.41,6,-5.26,-6.47
0.451,6.71,-4.39,-5.84
0.492,6.35,-3.41,-5.61
0.533,7.57,-4.43,-6.28
0.574,7.45,-4.55,-6.43
0.615,6.63,-4.39,-5.77
0.656,6.63,-4.39,-6.2
0.697,6.75,-4.47,-6.39
0.738,6.83,-4.2,-5.88
0.779,5.81,-3.69,-5.41
0.82,6.59,-4.08,-5.37
0.861,7.69,-4.47,-5.1
0.902,8.39,-4.12,-5.96
0.943,8.79,-4.86,-9.45
0.984,10.36,-8.59,-10.79
1.025,4.59,-8,-13.1
1.066,0.94,-5.92,-6.86
1.107,3.41,-5.1,-7.53
1.148,7.34,-6.28,-4.67
1.189,7.77,-4.94,-6.98
1.332,3.69,-1.88,-5.33
1.599,4.24,-8.79,-15.38
1.64,3.06,-6.86,-9.3
1.681,2.12,-2.55,-5.57
1.722,2.24,-1.1,-5.65
1.763,1.61,-3.26,-8.24
1.804,6.2,-6.32,-6.86
1.845,6.2,-5.96,-7.61
1.886,5.41,-3.26,-6.43
1.927,5.96,-2.24,-4.35
1.968,7.02,-2.39,-3.1
2.009,7.02,-2.12,-4.12
2.05,7.1,-4.12,-5.33
2.091,10.16,-6.59,-5.33
2.132,9.57,-6.32,-10.08
2.173,7.57,-8.59,-16.2
2.214,4.79,-10.04,-14.47
2.255,1.53,-5.22,-6.98
2.296,2.24,-2.71,-5.45
2.337,3.61,-1.88,-7.85
2.378,5.41,-4.86,-2.08
2.419,8.08,-3.96,-4.94
2.46,2.47,-1.18,-4.67
2.501,4,-3.18,-0.78
2.542,5.33,-5.14,-3.41
2.583,5.02,-6.9,-7.92
2.624,8.36,-13.22,-5.06
2.665,8.36,-11.06,-12.87
2.706,6.12,-8.63,-17.69
2.747,2.98,-1.88,-9.41
2.788,3.84,-0.47,-6.04
2.829,3.02,-0.43,-3.18
2.87,4,-2.24,-6.2
2.911,7.3,-4.86,-6.71
2.952,4.28,-6.08,-5.26
2.993,5.02,-5.53,-4.82
3.034,5.96,-6,-3.57
3.075,6.28,-4.12,-3.96
