NAME:,Run_5_1,,
EXPERIMENT TIME:,06/06/2023 12:18,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,150,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,0.24,-10.16,-5.61
0.080999023,-2.63,-4.63,-2.63
0.161999023,0.2,-11.92,-4.12
0.242999023,-1.45,-11.34,-4.47
0.323999023,0.27,-6.71,-2.04
0.971999023,1.1,-7.14,-3.92
1.052999023,0.55,-9.45,-4.31
1.133999023,2.59,-11.18,-2.47
1.214999023,6.16,-4.67,-8.47
1.295999023,-0.51,-5.69,-7.85
1.376999023,2.2,-17.5,-10.24
1.457999023,-1.84,-14.71,-5.65
1.538999023,2.71,4.28,1.14
1.619999023,-2.39,-0.55,-5.65
1.700999023,-2.67,-20.01,-5.92
1.781999023,-4.08,-20.01,-2.43
1.862999023,1.53,-4.47,-2.63
1.943999023,3.96,-0.82,-1.77
2.024999023,-0.94,4.82,-3.3
2.105999023,-3.73,-20.01,-18.67
2.186999023,0.63,-13.57,-3.92
2.267999023,4.2,8,-2.79
2.348999023,-1.92,-4.67,-3.33
2.429999023,-9.3,-4.75,-20.01
2.510999023,-1.22,-20.01,-6.2
2.591999023,6.24,-6.12,-1.14
2.672999023,3.8,-0.43,-1.22
2.753999023,-4.94,1.61,1.49
2.834999023,-5.41,-20.01,-12.24
2.915999023,2.47,-13.06,-3.3
2.996999023,3.84,11.81,-3.26
3.077999023,-3.02,-2.86,-6.47
3.158999023,-6.12,1.77,-20.01
3.239999023,1.96,-20.01,-5.14
3.320999023,1.1,0.9,-1.92
3.401999023,5.41,-5.18,-2.04
3.482999023,-3.88,1.65,1.53
3.563999023,-1.14,-20.01,-16.99
3.644999023,0.2,-13.14,-2
3.725999023,4.04,8.28,-0.86
3.806999023,-4.28,4.12,-9.14
3.887999023,-7.45,5.73,-20.01
3.968999023,0.27,-20.01,-0.59
4.049999023,0.35,1.53,-4.47
4.130999023,5.57,-5.61,-2
4.211999023,-3.8,-1.26,1.1
4.292999023,2,-18.55,-7.02
4.373999023,5.73,-19.81,-0.51
4.454999023,4,10.75,-0.39
4.535999023,-4.28,-5.3,-6.63
4.616999023,-1.88,6.32,-20.01
4.697999023,-2.79,-20.01,-7.3
4.778999023,2.59,-8.63,-2.12
4.859999023,5.1,4.86,0.27
4.940999023,-2.9,2.98,0.67
5.021999023,-1.96,-15.61,-7.88
5.102999023,10.28,-17.5,0.2
5.183999023,-1.22,-1.73,-3.02
5.264999023,-6,-7.37,1.65
5.345999023,4.2,0.82,3.14
5.426999023,-7.65,-9.89,-16.63
5.507999023,-0.82,-12.59,-3.69
5.588999023,-4.16,4.79,-0.98
5.669999023,-0.08,-4.31,-5.49
5.750999023,4.82,11.73,-19.77
5.831999023,4.67,-20.01,-13.69
5.912999023,-1.69,-4.71,-1.92
5.993999023,-3.14,-3.49,1.02
6.074999023,-0.2,7.96,-3.1
6.155999023,-7.96,-5.88,-19.89
6.236999023,3.84,-15.42,7.22
6.479999023,1.69,15.61,-20.01
6.560999023,7.3,-20.01,-19.42
6.641999023,-4.86,-5.77,-0.9
6.967999023,-0.75,-19.65,-7.92
7.047999023,-7.1,8.71,-1.18
7.128999023,-0.24,1.77,-4.94
7.209999023,1.33,11.49,-11.73
7.290999023,3.92,-20.01,-20.01
7.371999023,-2.08,-6.86,-3.18
7.452999023,0.43,2.86,2.08
7.533999023,-1.77,0.67,-1.77
7.614999023,1.1,-9.53,-10.67
7.695999023,-7.34,-20.01,-4.51
7.776999023,-3.3,1.8,1.33
7.857999023,4,-4.47,-4.9
7.938999023,-3.14,-0.43,0.63
8.019999023,-7.18,-20.01,-20.01
8.100999023,-3.22,-13.57,-3.45
8.181999023,3.65,10.32,-1.26
8.262999023,0.2,-2.79,-6.04
8.343999023,-10.63,-0.12,-20.01
8.424999023,-3.49,-20.01,-4.86
8.505999023,4.94,-2.86,-1.29
8.586999023,5.57,-0.04,-0.24
8.667999023,-5.53,1.77,0.94
8.748999023,0.67,-20.01,-2.08
8.829999023,7.69,-9.69,-1.26
8.910999023,3.02,6.59,-4.63
8.991999023,-3.45,-6.9,-3.69
9.072999023,-4.82,6.51,-17.89
9.153999023,-1.96,-20.01,-8.28
9.234999023,6.63,-9.85,-2.12
9.315999023,3.61,2.24,1.41
9.396999023,-3.14,1.02,-1.18
9.477999023,8.55,-2.51,-20.01
9.558999023,4.39,-20.01,0.39
9.639999023,0.67,-4.98,0.27
9.720999023,-6.28,-7.34,0.27
9.801999023,3.26,1.49,2.79
9.882999023,6.75,-9.77,-13.49
9.963999023,-4.04,-15.46,-6.59
10.04499902,-5.65,1.57,2.04
10.12699902,0.78,-3.49,-3.22
10.20699902,3.84,5.65,-20.01
10.28799902,5.3,-20.01,-13.14
10.36899902,-2.43,-3.18,-0.94
10.44999902,-1.77,-3.57,4.71
10.53099902,-0.55,3.41,-0.94
10.61199902,1.61,-3.22,-15.69
10.69299902,-4.2,-20.01,-5.73
10.77399902,-6.9,3.33,1.02
10.85499902,2.28,-4,-6.12
10.93599902,-1.84,8,-14.79
11.01699902,9.81,-20.01,-20.01
11.09799902,-3.8,-1.84,-0.94
11.17899902,-6.24,-5.88,0.75
11.25999902,1.18,1.22,1.14
11.34099902,7.06,-5.37,-15.81
11.42199902,-6.39,-20.01,-5.33
11.50299902,-2.2,1.61,0.31
11.58399902,0.04,-2.98,-3.57
11.66499902,-3.3,-2.98,2.08
11.74599902,-3.84,-20.01,-20.01
11.82699902,1.96,-2.71,-1.73
11.90799902,-2.24,4.31,-0.24
11.98899902,-2.35,0.71,-4.2
12.06999902,-6.39,-5.3,-17.14
12.47499902,-4.43,-19.93,-17.26
12.55599902,4.47,-15.93,-5.69
12.63699902,1.45,9.18,-2.2
13.44699902,-2.82,-7.73,-0.24
13.52799902,1.84,4.79,0.12
13.60899902,8.83,-20.01,-16.55
14.41899902,-2.16,-11.34,-5.06
14.49999902,-2.24,0.04,0.59
15.95799902,5.06,-10.94,-2.08
16.03899902,6.55,5.33,-0.78
16.11999902,-4.2,2.28,-1.65
16.20099902,1.92,-19.57,-3.41
16.28199902,3.65,-20.01,-0.2
16.36299902,1.26,-2.2,0.08
16.44399902,-4.98,-3.77,0.78
16.52499902,1.92,0.04,-6.63
16.60599902,1.45,-20.01,-13.38
16.68699902,2.47,-18.12,-5.77
16.76799902,-7.41,3.88,1.96
16.84899902,2.08,-6.63,-4.28
16.92999902,0.86,2.35,-19.93
17.01099902,7.06,-20.01,-11.3
17.09199902,-5.18,-10.16,-3.49
17.17299902,-1.22,5.65,-1.61
17.25399902,3.37,6.86,-4.59
17.33499902,-5.49,-20.01,0.24
17.41599902,-1.02,-20.01,2.9
17.49699902,-2.39,0.31,-2.28
17.57799902,2.94,-2.63,-4.12
17.65899902,0.94,8.47,-7.18
17.73999902,0.98,-20.01,-20.01
17.82099902,-4.71,-8.71,-1.84
17.90199902,0.71,4.2,-2.04
17.98299902,-3.18,1.14,-4.94
18.06399902,-3.69,-20.01,4.51
18.14499902,-1.45,-20.01,0.71
18.22599902,0.78,0.12,-1.18
18.30699902,2.2,-3.88,-0.71
18.38799902,-3.45,0.75,0.71
18.46899902,-2.79,-20.01,-17.1
18.54999902,3.18,-14.83,-5.49
18.63099902,1.29,3.26,-0.71
18.71199902,-2.71,-4.43,-1.1
18.79299902,0.04,0.71,-11.41
18.87399902,2,-20.01,-8.24
18.95499902,3.26,-19.42,-5.22
19.03599902,-7.14,2.16,-0.9
19.11699902,1.45,-5.49,-3.37
19.19799902,2.67,-5.81,-10.87
19.27899902,7.26,-20.01,-8.51
19.36099902,-6.63,-12.55,-2.59
19.44199902,2.04,6.55,-2.55
19.52299902,2,3.1,-5.37
19.60399902,3.41,-12.87,-11.06
19.68499902,-1.8,-20.01,-4.59
19.76599902,-5.14,1.92,-2.82
19.84699902,2.2,-2.67,-3.84
19.92799902,-2.31,1.65,-2.94
20.00899902,2.39,-20.01,-20.01
20.08999902,-4,-11.18,-4.08
20.17099902,6.08,9.53,-0.98
20.25199902,-2.94,-1.65,-7.26
20.33299902,-5.69,1.33,-18.79
20.41399902,0.63,-20.01,-13.18
20.49499902,4.31,-2.71,-3.18
20.57599902,5.45,-2.59,0.86
20.65699902,-3.73,3.22,0
20.73799902,-0.9,-10,-9.34
20.81899902,6.28,-20.01,-3.3
20.89999902,0.27,1.73,-1.45
20.98099902,-5.84,-8.43,0.75
21.06199902,0.16,3.61,-7.81
21.14299902,5.45,-20.01,-11.69
21.22399902,4.31,-17.81,-4.86
22.03399902,-1.26,1.22,-2.28
22.11499902,4.12,-1.77,-0.9
22.92499902,0.59,0.9,-1.02
23.00599902,2.24,-20.01,-3.02
23.08699902,3.37,-20.01,-1.26
23.89699902,-6.08,-9.69,-1.57
23.97799902,-0.39,3.69,0.59
24.05899902,2.28,2.12,-2.55
24.46399902,-0.78,8.83,-12.91
24.54499902,5.69,-20.01,-18.87
24.62599902,-5.81,-13.73,-3.57
24.70699902,2.31,6,-1.1
24.78799902,-1.73,-3.37,-3.69
24.86899902,-10.47,-10.9,-14.75
24.94999902,1.84,-20.01,-6.43
25.03099902,0.98,-4.82,-2.28
25.11199902,7.34,-3.57,0.12
25.19299902,-3.37,3.88,0.94
25.27399902,1.77,-11.02,-9.06
25.35499902,3.33,-20.01,-3.92
25.43599902,-2.16,-5.88,-0.04
25.51699902,-1.84,-2.67,2.12
25.59799902,0.82,1.49,-1.33
25.67899902,7.77,-15.42,-11.85
25.75999902,0.86,-20.01,-6.24
25.84099902,-6.24,0.35,1.29
25.92199902,0.35,-3.77,-2.82
26.00299902,0.71,2.12,-10.55
26.08399902,5.69,-20.01,-19.77
26.16499902,-4.08,-11.73,-3.69
26.24599902,1.88,5.69,0.08
26.32699902,-0.31,-1.65,-5.3
26.40799902,-3.3,-20.01,-4.51
26.48899902,-2.28,-20.01,-3.02
26.56999902,2.75,-2.67,-0.67
26.65099902,4.12,-2.04,-0.94
26.73199902,-1.26,6.32,-1.69
26.81299902,-0.86,-15.97,-12.28
26.89399902,-1.77,-19.02,-6.63
26.97499902,1.26,2.35,-1.92
27.05599902,-2.59,-4.75,-0.39
27.13699902,-3.02,4.24,-14.59
27.21799902,-2.67,-20.01,-10.24
27.29899902,6.67,-18.79,-4.47
27.37999902,-7.22,2.43,0.39
27.46099902,0.67,-2.86,-3.45
27.54199902,2.82,-10.04,-10.16
27.62299902,5.02,-20.01,-8.75
27.70399902,-4.28,-8.75,-0.51
27.78499902,-0.98,-0.04,1.65
27.86599902,1.49,2.43,-2.35
27.94699902,-1.92,-7.37,-10.43
28.02799902,-1.88,-20.01,-4.2
28.10899902,0.39,-0.82,-0.35
28.18999902,5.41,-0.78,-2.55
28.27099902,-2.39,5.92,-2.39
28.35199902,2.12,-20.01,-15.69
28.43299902,-0.9,-17.57,-4.63
28.51399902,2.59,2,-2.71
28.59499902,-1.18,-5.53,-1.06
28.67599902,-5.65,-13.53,-7.45
28.75699902,-2.2,-20.01,-5.81
28.83799902,3.73,-7.22,-1.41
28.91899902,5.73,0.55,1.22
28.99999902,-2.9,1.45,-1.53
29.08099902,-3.3,-16.63,-7.96
29.16199902,6.63,-20.01,-3.57
29.24299902,-2.51,-4.24,0.08
29.32399902,-6.12,-6.63,1.61
29.40599902,4.79,3.14,0.31
29.48599902,1.96,-9.92,-14.63
29.56699902,-2,-20.01,-6.98
29.64799902,-3.22,1.41,-2.55
29.72899902,3.49,-5.69,-0.67
30.45799902,-3.88,2.71,2.98
30.53899902,0.43,-4.24,-3.92
30.61999902,1.37,-12.24,-9.96
30.70099902,6.59,-20.01,-7.3
30.78199902,-5.06,-9.57,-1.69
30.86299902,1.57,0.75,0.35
30.94399902,1.92,5.14,-1.69
31.02499902,0.08,-10.51,-10
31.10599902,-1.53,-20.01,-3.1
31.18699902,-4.55,2.63,-0.39
31.26799902,2.63,-3.53,-3.8
31.34899902,-1.18,4.39,-10.36
31.42999902,4.82,-20.01,-18.71
31.51099902,-4.31,-12.67,-4.08
31.59199902,3.3,5.73,-3.45
31.67299902,-2.39,-4.08,-5.22
31.75399902,-9.06,-20.01,-7.1
31.83499902,5.22,-20.01,-1.29
31.91599902,0.35,-4.79,-2.86
31.99699902,6.08,-4,1.92
32.07799902,-4.55,4.82,2.24
32.15899902,-0.82,-14.95,-12.71
32.23999902,4.43,-15.69,-4.2
32.32099902,1.49,-1.18,-0.63
32.40199902,-2.39,-7.18,-0.9
32.48299902,0.2,5.88,-11.73
32.56399902,0,-20.01,-10.04
32.64499902,3.41,-12.43,-3.69
32.72599902,-4.08,1.73,1.14
32.80699902,-0.04,-5.3,-2.04
32.88799902,1.18,-14.67,-7.53
32.96899902,4.71,-20.01,-3.02
33.04999902,-3.53,-9.69,0
33.13099902,-2.31,0.82,0
33.21199902,1.49,4.98,-2.12
33.29299902,6.63,-10.43,-11.34
33.37399902,0.47,-20.01,-6.39
33.45499902,-7.02,4.67,0.24
33.53599902,4.04,-4.04,-2.43
33.61699902,0.24,5.1,-11.3
33.69799902,-1.41,-20.01,-15.65
33.77899902,-1.84,-17.57,-4.94
33.85999902,4.35,4.16,-1.92
33.94099902,-4.9,-5.14,-3.57
34.02199902,-1.96,-8.08,-9.53
34.10299902,-2.82,-20.01,-5.14
34.18399902,3.33,-10.71,-1.61
34.26499902,4.08,2.67,2.51
34.34599902,-1.53,2.47,-2.59
34.42699902,-1.14,-20.01,-3.69
34.50799902,4.39,-20.01,-4.59
34.58899902,-2.67,-7.06,-0.08
34.66999902,-2.16,-3.33,3.18
34.75099902,1.53,4.2,-5.06
34.83199902,5.3,-17.1,-8.04
