NAME:,Walk_2_1,,
EXPERIMENT TIME:,06/06/2023 12:02,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,95,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,0.82,-7.34,-3.77
0.082008301,-1.02,-12.67,-3.02
0.162008301,-2,-8.32,-6.71
0.243008301,5.37,-9.77,-10.28
0.325008301,-3.77,-4.71,-5.49
0.405008301,1.65,-4.31,-3.37
0.487008301,1.22,-10.04,-4.28
0.567008301,0.16,-8.28,-2.24
0.648008301,1.37,-10.83,-3.88
0.730008301,1.22,-10.51,-4.55
0.810008301,1.92,-5.53,-10.16
0.892008301,-1.92,-10.87,-6.86
0.972008301,0.86,-5.06,-3.8
1.053008301,-3.96,-8.67,-4.51
1.134008301,-1.45,-7.96,-2.28
1.215008301,-0.94,-11.18,-2.79
1.296008301,-0.86,-12.71,-1.77
1.377008301,-2.35,-3.84,-7.61
1.458008301,3.06,-10.2,-8.32
1.539008301,-4.24,-9.57,-5.37
1.620008301,1.26,-4.67,-2.2
1.701008301,1.14,-9.89,-4.67
1.782008301,-0.24,-10.43,-3.37
1.863008301,0.63,-11.41,-2.86
2.106008301,2.47,-8.55,-6.9
2.187008301,-1.33,-3.3,-2.9
2.268008301,-2.2,-9.57,-4.98
2.349008301,0.55,-6.28,-4.16
2.431008301,-2.82,-10.67,-3.77
2.511008301,-1.49,-10.08,-2.39
2.592008301,-3.49,-9.45,-11.96
2.673008301,0.2,-6.43,-5.37
2.754008301,-2.08,-5.73,-4.82
2.835008301,1.57,-9.57,-3.49
2.916008301,0.75,-7.3,-2.67
2.997008301,0.43,-10.79,-3.88
3.078008301,0.94,-11.89,-4.39
3.159008301,1.84,-8.39,-11.89
3.240008301,-3.1,-8,-5.41
4.050008301,1.61,-8,-4.39
4.131008301,-0.67,-9.96,-3.49
4.213008301,1.26,-11.53,-3.65
4.293008301,-0.04,-8.9,-6.12
4.374008301,-1.77,-7.81,-10.9
4.455008301,0.55,-7.1,-7.02
4.536008301,0.94,-3.57,-4.31
4.617008301,-2.71,-8.43,-4.86
4.698008301,-0.82,-7.81,-2.86
4.779008301,-1.29,-11.06,-2.98
4.860008301,-3.18,-10.55,-4.43
4.941008301,-2.2,-7.73,-10.71
5.022008301,-0.94,-7.45,-5.33
5.427008301,-0.47,-10.94,-2.75
5.508008301,2.75,-9.85,-11.45
5.589008301,0.08,-8.08,-6.43
5.913008301,-2.63,-12.16,-2.94
5.994008301,-2.98,-9.02,-6.55
6.075008301,2.9,-9.18,-10.63
6.156008301,-3.8,-6.59,-4.43
6.237008301,-0.67,-4.94,-3.57
6.318008301,1.06,-9.26,-4.08
6.399008301,-0.24,-7.53,-2.9
6.480008301,2.04,-10.87,-4.16
6.561008301,0.43,-10.98,-4.43
6.642008301,-0.67,-10.55,-11.18
6.723008301,-1.8,-6.39,-6.75
6.804008301,0.75,-6.04,-4.39
6.885008301,-2.55,-7.53,-4.04
6.966008301,-0.43,-7.96,-2.79
7.047008301,-1.84,-10.9,-4.51
7.128008301,-3.73,-9.18,-6.12
7.209008301,-1.73,-7.06,-12.91
7.290008301,-0.71,-5.88,-5.14
7.371008301,-1.96,-5.22,-4.67
7.452008301,2.12,-9.81,-4
7.533008301,0.55,-7.77,-2.31
7.614008301,1.96,-10.79,-3.69
7.695008301,-0.12,-10.67,-6.35
7.776008301,-2.63,-8.59,-9.18
7.857008301,2.16,-8.39,-7.1
7.938008301,-0.16,-3.61,-3.41
8.019008301,-2.47,-8.67,-4.47
8.100008301,-0.67,-7.34,-2.51
8.181008301,-3.33,-11.85,-3.53
8.262008301,-1.45,-10.4,-6.08
8.343008301,0.82,-8.36,-9.73
8.424008301,-1.88,-5.02,-4.98
8.505008301,-1.69,-5.61,-4.43
8.586008301,1.49,-8.98,-3.92
8.667008301,0.63,-7.61,-2.75
8.748008301,0.47,-10,-4.08
8.829008301,0.71,-11.57,-4.98
8.910008301,0.63,-6.24,-11.26
8.991008301,-0.35,-9.22,-8.39
9.072008301,0.08,-5.1,-4.08
9.153008301,-3.14,-7.53,-4.39
9.801008301,0.94,-7.57,-3.02
9.882008301,0.86,-10.32,-4.39
9.963008301,1.14,-12.12,-1.92
10.7730083,-3.1,-8.87,-5.41
10.8540083,2.12,-7.22,-2.82
10.9350083,0.94,-8.08,-3.84
11.8260083,3.61,-7.3,-8
11.9070083,-5.73,-9.61,-5.14
11.9880083,1.8,-5.33,-2.2
12.7980083,-1.22,-12.36,-2.39
12.8790083,-2.63,-8.63,-9.06
12.9610083,4.75,-9.14,-7.96
13.0410083,-6.51,-8.55,-5.81
13.1230083,2.12,-5.45,-2.86
13.2030083,1.84,-8.94,-4.24
13.2840083,-0.86,-10.12,-2.82
13.3650083,0.75,-10.79,-3.26
13.4460083,1.14,-8.98,-5.18
13.5270083,-0.39,-8.39,-9.1
13.6080083,1.18,-9.06,-6.79
13.6890083,0.55,-4.08,-3.84
13.7700083,-3.49,-8.71,-4.75
13.8510083,-0.31,-7.34,-2.79
13.9330083,-1.14,-10.9,-4
14.0130083,-2.63,-10.83,-3.73
14.0940083,-2.39,-7.34,-10.24
14.1750083,-0.63,-5.92,-6.12
14.2560083,-2.94,-7.65,-5.22
14.3380083,1.92,-8.39,-3.41
14.4180083,1.29,-7.57,-3.49
14.4990083,-0.78,-10.24,-3.84
14.5800083,0.9,-12.24,-1.84
14.6610083,2.59,-9.26,-8.04
14.7430083,-6.55,-8.71,-6.86
14.8230083,3.8,-8.43,-4.63
14.9040083,-2.71,-6.67,-2.75
14.9860083,-1.57,-8.12,-3.41
15.0660083,1.06,-9.53,-3.18
15.1480083,-1.92,-12.08,-2.2
15.2290083,-3.96,-7.88,-8.75
15.3100083,5.22,-9.65,-7.34
15.3910083,-6,-9.22,-5.33
15.4710083,1.96,-5.14,-2.28
15.5530083,0.98,-9.3,-4
15.7950083,1.49,-10.04,-9.18
15.8770083,-6.28,-6.86,-6.98
15.9580083,3.26,-7.57,-5.57
16.0380083,-1.73,-5.37,-3.22
16.1190083,-1.84,-8.63,-4.24
16.2000083,0.31,-8.9,-3.14
16.2810083,-1.92,-11.65,-3.02
16.3630083,-2.24,-10,-6.94
16.4430083,2.35,-7.14,-8.2
16.5240083,-2.98,-6.59,-4.98
16.6050083,-0.24,-5.49,-4.31
16.6860083,1.29,-9.65,-3.88
16.7680083,0.27,-7.65,-2.63
16.8480083,0.98,-9.77,-4.08
16.9290083,0.43,-12.16,-2.82
17.0100083,1.8,-6.51,-10.47
17.0910083,-1.57,-10.16,-7.69
17.1730083,2.98,-6.08,-4
17.2530083,-3.53,-7.34,-3.49
17.3340083,-1.8,-8.43,-2.43
17.4150083,-1.49,-10,-2.82
17.4960083,-2.51,-12.67,-4.75
17.5780083,-1.02,-6.9,-11.92
17.6580083,-2.67,-5.33,-5.1
17.7390083,-0.75,-5.73,-5.81
17.8200083,1.18,-8.2,-3.69
18.0630083,-0.67,-12.83,-2.67
18.1440083,0.04,-6.08,-10.4
18.7920083,3.3,-4.75,-8.51
18.8730083,-4.59,-8.87,-5.49
18.9540083,1.96,-6.12,-2.39
19.0360083,1.69,-8.39,-3.84
19.1160083,-0.71,-11.73,-4.12
19.1970083,0.04,-12.16,-1.88
19.2780083,3.84,-8.55,-9.69
19.3590083,-3.1,-9.41,-6.83
19.4410083,2.86,-8.36,-4.71
19.5210083,-3.37,-6.39,-2.71
19.6020083,-2.2,-8,-3.1
19.6830083,-0.08,-9.1,-3.49
19.7640083,-0.16,-12.63,-2.16
19.8450083,-3.49,-7.22,-11.92
19.9260083,1.57,-7.49,-7.57
20.0070083,-5.02,-7.92,-4.9
20.0880083,2.31,-6.2,-2.71
20.1690083,1.73,-9.53,-3.53
20.2500083,-0.78,-10.67,-3.57
20.3310083,0.16,-12.2,-3.61
20.4120083,1.73,-6.55,-10.59
20.4930083,-1.41,-8.75,-7.1
20.5740083,1.37,-6.32,-4.24
20.6550083,-3.61,-7.65,-3.96
20.7360083,-1.77,-7.88,-2.31
20.8170083,-0.82,-10.63,-3.69
20.8980083,-2.12,-11.06,-5.53
20.9790083,0.27,-8,-11.02
21.0600083,-2.47,-6.16,-4.98
21.1410083,-0.71,-5.41,-4.43
21.2220083,1.49,-9.22,-3.45
21.3030083,0.82,-8.32,-2.55
21.3840083,-0.08,-10.24,-3.41
21.4650083,0.59,-12.36,-6.71
21.5460083,-0.86,-7.53,-9.69
21.6270083,0.63,-8.47,-6.75
21.7080083,1.96,-4.04,-3.84
21.7890083,-4.04,-9.53,-4.04
21.8700083,-1.02,-7.37,-1.49
21.9510083,-1.41,-11.65,-3.26
22.0320083,-2.08,-10.75,-6.67
22.1130083,3.61,-8.24,-9.18
22.1940083,-4.16,-4.86,-4.71
22.2750083,1.22,-5.81,-3.53
22.3560083,1.45,-9.49,-3.77
22.4370083,-0.04,-9.18,-2.75
22.5180083,1.88,-10.32,-2.79
22.5990083,0.82,-10.98,-7.18
22.6800083,-5.1,-7.92,-8.51
22.7610083,2.9,-7.02,-6.71
22.8420083,-1.26,-3.41,-3.41
22.9230083,-3.1,-8.9,-4.31
23.0040083,-0.71,-8.87,-2.59
23.0850083,-1.1,-13.69,-2.31
23.1660083,-3.22,-8.59,-7.73
23.2470083,4.55,-11.06,-7.69
23.3280083,-6.32,-7.73,-5.3
23.4090083,2.35,-4.31,-2.47
23.4900083,1.69,-9.53,-3.53
23.5710083,-0.59,-9.26,-2.98
23.6520083,1.1,-11.92,-2.47
23.7330083,3.06,-8.67,-8.79
23.8140083,-6.12,-7.77,-8.2
23.8960083,5.73,-8.98,-4.59
23.9760083,-3.73,-4.12,-2.2
24.7860083,3.57,-11.22,-1.77
24.8670083,0.98,-8.36,-9.57
26.2440083,0.16,-4.39,-3.33
26.3250083,-2.55,-9.1,-4.08
