"Name:","run_5_1.csv"
"EXPERIMENT TIME:","06/06/2023 15:25"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","41"

"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0","-10.08","1.53","-2.51"
"0.049804688","-10.24","2.43","-1.37"
"0.099853516","-10.98","1.06","-0.59"
"0.14990234","-11.45","1.53","0.00"
"0.19995117","-9.96","1.06","0.71"
"0.26000977","-10.04","0.59","-0.16"
"0.30981445","-10.36","1.14","-0.27"
"0.35986328","-9.61","0.55","-0.12"
"0.4099121","-11.49","1.18","-2.35"
"0.45996094","-10.04","1.80","-0.20"
"0.51000977","-9.69","1.06","-0.71"
"0.55981445","-9.65","-0.04","-2.00"
"0.6098633","-11.10","0.90","-0.35"
"0.6599121","-9.34","1.33","-2.00"
"0.70996094","-10.04","2.47","0.08"
"0.7697754","-9.77","0.47","-0.16"
"0.8198242","-9.10","1.96","0.43"
"0.86987305","-11.53","2.04","0.39"
"0.9199219","-9.45","2.12","-5.45"
"0.9699707","-8.04","4.82","-2.86"
"1.0197754","-12.12","2.39","-1.92"
"1.0698242","-9.96","-1.37","-2.04"
"1.119873","-11.81","3.26","0.00"
"1.1699219","-13.81","-3.06","-4.86"
"1.2199707","-13.53","-2.90","-0.67"
"1.2797852","-10.24","-1.73","-2.31"
"1.329834","-3.77","-6.55","-0.86"
"1.3798828","-14.63","-2.59","-15.30"
"1.4299316","-19.02","0.63","-8.20"
"1.4799805","-20.01","-4.00","-1.26"
"1.5297852","-15.14","7.14","3.57"
"1.579834","-5.92","-0.82","2.00"
"1.6298828","0.82","3.92","-2.39"
"1.6799316","0.75","6.20","-0.67"
"1.7299805","0.08","0.04","0.86"
"1.7897949","-19.46","-5.61","-2.39"
"1.8398438","-16.24","4.71","3.61"
"1.8898926","-14.67","1.37","-2.51"
"1.9399414","-13.14","-3.10","-4.35"
"1.9899902","-1.77","-3.14","-3.33"
"2.039795","-0.39","-1.41","-3.92"
"2.0898438","-3.37","8.75","-7.26"
"2.1398926","-20.01","-2.98","1.41"
"2.1899414","-20.01","-5.45","1.06"
"2.2399902","-11.45","3.14","2.28"
"2.2998047","1.22","2.86","1.65"
"2.3498535","0.12","3.06","-0.12"
"2.3999023","-2.71","-0.55","-1.06"
"2.4499512","-20.01","4.24","-13.06"
"2.5","-20.01","-2.67","-1.65"
"2.5498047","-19.61","6.00","3.33"
"2.5998535","-14.87","-2.98","-4.55"
"2.6499023","0.16","-0.39","-1.96"
"2.6999512","-1.29","-3.92","-4.63"
"2.75","-3.06","5.02","-2.67"
"2.8098145","-20.01","7.73","-9.65"
"2.8598633","-20.01","-1.18","0.82"
"2.909912","-15.14","-2.90","1.45"
"2.959961","-2.94","2.43","0.71"
"3.0100098","3.73","4.86","-3.61"
"3.0598145","-3.80","0.63","0.35"
"3.1098633","-4.00","5.37","-11.14"
"3.159912","-9.38","-6.12","20.01"
"3.209961","-17.77","2.31","1.69"
"3.2697754","-17.77","1.69","-6.59"
"3.3198242","-1.14","2.12","-0.86"
"3.369873","-1.77","-3.96","-3.73"
"3.4199219","-2.24","2.12","-3.69"
"3.4699707","-20.01","8.63","5.06"
"3.5197754","-20.01","-8.43","5.02"
"3.5698242","-12.04","-2.12","0.94"
"3.619873","-2.12","5.18","-0.67"
"3.6699219","3.18","4.51","-4.79"
"3.7199707","-4.43","-1.10","2.47"
"3.7797852","-6.24","10.47","-16.12"
"3.829834","-2.67","-3.10","16.55"
"3.8798828","-16.71","7.41","6.20"
"3.9299316","-15.34","-5.33","-6.35"
"3.9799805","-4.35","1.92","-2.16"
"4.029785","-1.73","-4.47","-3.80"
"4.079834","-1.18","3.80","-2.86"
"4.129883","-20.01","4.31","-4.28"
"4.1799316","-20.01","-5.33","4.00"
"4.2299805","-11.18","-3.22","0.63"
"4.289795","-2.47","3.14","1.10"
"4.3398438","5.30","5.96","-5.30"
"4.3898926","-6.55","1.02","0.35"
"4.4399414","-0.24","7.37","-10.87"
"4.48999","-7.69","1.49","10.08"
"4.539795","-11.57","9.18","8.63"
"4.5898438","-19.50","-4.24","-8.67"
"4.6398926","-3.92","1.49","-0.43"
"4.6899414","-3.41","-0.94","-4.20"
"4.73999","-0.98","1.73","-2.04"
"4.7998047","-20.01","10.40","-20.01"
"4.8498535","-20.01","3.92","-6.79"
"4.8999023","-15.97","-8.47","2.79"
"4.949951","1.73","1.61","0.47"
"5.0","4.16","10.28","-4.08"
"5.0498047","-8.71","-1.33","-2.35"
"5.0998535","4.47","-2.75","0.31"
"5.1499023","-18.12","-3.53","1.02"
"5.199951","-10.63","4.12","0.51"
"5.25","-17.02","1.37","-5.57"
"5.3098145","-6.39","-0.47","-0.31"
"5.3598633","-0.75","-5.61","-2.24"
"5.409912","-0.59","2.31","-0.63"
"5.459961","-20.01","9.69","-5.26"
"5.51001","-20.01","-1.77","-0.12"
"5.5598145","-14.83","-4.90","0.43"
"5.6098633","0.39","2.35","-1.10"
"5.659912","3.80","7.18","-3.88"
"5.709961","-6.94","1.49","0.47"
"5.76001","2.82","6.75","-12.94"
"5.819824","-5.81","0.59","11.26"
"5.869873","-10.32","6.51","3.22"
"5.919922","-19.18","4.04","-7.37"
"5.9699707","-1.18","2.31","0.47"
"6.0197754","-3.30","-4.31","-1.84"
"6.069824","0.08","0.35","-1.65"
"6.119873","-19.53","9.10","-13.81"
"6.169922","-20.01","-5.06","-1.06"
"6.2199707","-12.32","-2.90","1.06"
"6.2697754","-0.04","0.20","1.22"
"6.329834","3.61","8.12","-2.39"
"6.379883","-9.02","-0.55","-1.02"
"6.4299316","-20.01","2.67","-6.59"
"6.4799805","-14.71","-6.83","2.00"
"6.529785","-16.20","10.63","3.10"
"6.579834","-13.14","-8.28","-5.81"
"6.629883","-2.79","1.18","-3.73"
"6.6799316","-0.82","-4.86","-4.00"
"6.7299805","-1.92","2.67","-4.00"
"6.779785","-20.01","0.94","-3.30"
"6.8398438","-20.01","-6.90","0.27"
"6.8898926","-9.02","1.69","5.53"
"6.9399414","3.65","2.75","-0.71"
"6.98999","2.67","5.33","-3.69"
"7.039795","-5.02","-7.88","4.98"
"7.0898438","-20.01","-2.35","-12.79"
"7.1398926","-19.93","-5.14","-0.90"
"7.1899414","-15.22","11.22","-0.98"
"7.23999","-11.02","-3.06","-5.02"
"7.289795","-2.16","-2.79","-4.86"
"7.3498535","1.18","0.86","-0.51"
"7.3999023","-19.53","9.77","-13.65"
"7.449951","-18.51","0.31","-4.16"
"7.5","-16.55","-8.12","-1.41"
"7.5498047","-4.43","2.86","0.78"
"7.5998535","3.73","7.26","-4.00"
"7.6499023","-8.24","-2.31","0.90"
"7.699951","-20.01","-9.45","-2.63"
"7.75","-14.00","0.35","1.45"
"7.7998047","-18.48","9.85","-1.37"
"7.8598633","-9.14","-8.24","-3.41"
"7.909912","-2.12","0.16","-2.67"
"7.959961","0.27","-4.86","-2.98"
"8.01001","-1.41","-0.12","-8.28"
"8.059814","-20.01","-2.79","-2.51"
"8.109863","-18.79","-10.08","0.63"
"8.159912","-11.14","2.31","6.20"
"8.209961","3.14","1.49","-3.02"
"8.26001","1.14","8.12","-1.53"
"8.309814","-3.88","7.69","-10.40"
"8.369873","-4.82","-4.47","6.67"
"8.419922","-11.81","7.02","8.32"
"8.469971","-19.06","-5.73","-4.43"
"8.519775","-0.90","-0.55","-0.55"
"8.569824","-3.96","-2.20","-5.96"
"8.619873","0.82","3.26","-0.59"
"8.669922","-20.01","10.98","-9.89"
"8.719971","-19.14","-3.10","0.67"
"8.769775","-13.93","-3.30","-0.51"
"8.819824","-2.51","3.10","0.94"
"8.879883","3.33","5.77","-2.67"
"8.929932","-6.04","-0.39","-2.04"
"8.97998","-11.65","6.20","-11.81"
"9.029785","-15.22","-4.39","1.84"
"9.079834","-16.59","7.37","0.67"
"9.129883","-11.10","-6.12","-4.16"
"9.179932","-3.41","1.06","-2.12"
"9.22998","0.35","-5.84","-1.37"
"9.279785","-0.75","1.69","-5.49"
"9.329834","-20.01","1.14","-0.20"
"9.389893","-19.85","-8.39","2.20"
"9.439941","-10.00","1.49","3.69"
"9.48999","2.24","1.65","-0.35"
"9.539795","2.82","5.88","-1.29"
"9.589844","-7.45","-3.49","-0.08"
"9.639893","-20.01","-6.94","-5.49"
"9.689941","-17.85","-1.06","1.33"
"9.73999","-16.51","0.04","-4.28"
"9.789795","-4.00","0.35","-2.20"
"9.839844","-0.90","-2.47","-0.12"
"9.889893","0.55","-1.02","-1.10"
"9.949951","-16.79","0.98","-19.22"
"10.0","-20.01","2.71","-6.98"
"10.049805","-18.36","-11.92","-0.35"
"10.0998535","-6.12","3.30","2.51"
"10.149902","3.06","5.41","-3.61"
"10.199951","-3.18","6.55","-4.31"
"10.25","-0.63","-4.43","0.20"
"10.299805","-20.01","-8.55","-4.39"
"10.3498535","-15.30","4.55","-0.39"
"10.399902","-20.01","-1.84","-8.12"
"10.459961","-5.10","3.26","0.63"
"10.51001","-1.26","-4.28","-2.28"
"10.559814","0.75","0.20","-0.59"
"10.609863","-20.01","7.49","-16.75"
"10.659912","-17.69","1.37","-4.75"
"10.709961","-17.53","-7.61","-0.04"
"10.76001","-4.55","0.78","2.35"
"10.809814","4.08","4.47","-3.18"
"10.859863","-2.12","5.41","-2.31"
"10.909912","-6.59","0.94","-5.73"
"10.969971","1.45","-1.14","15.10"
"11.019775","-16.32","9.57","0.90"
"11.069824","-15.93","-3.02","-4.16"
"11.119873","-5.10","-1.77","-1.06"
"11.169922","-1.88","-1.49","-1.02"
"11.219971","-1.02","-4.20","-3.22"
"11.269775","-20.01","10.79","-16.99"
"11.319824","-18.04","0.16","-7.26"
"11.369873","-20.01","-6.75","-0.86"
"11.419922","-6.90","2.31","-0.63"
"11.47998","1.37","4.28","0.86"
"11.529785","0.75","1.18","1.45"
"11.579834","-6.20","-4.75","2.20"
"11.629883","-20.01","2.39","-7.26"
"11.679932","-18.99","-5.49","7.65"
"11.72998","-19.73","1.84","3.88"
"11.779785","-14.59","-7.06","-8.39"
"11.829834","-6.75","1.65","-4.04"
"11.879883","2.35","-5.61","-1.73"
