"Name:","walk_5_1.csv"
"EXPERIMENT TIME:","06/06/2023 15:14"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","15"

"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0","-9.26","4.28","-0.43"
"0.050048828","-9.30","3.84","-0.27"
"0.099975586","-10.83","2.63","-0.27"
"0.15002441","-9.77","3.65","0.27"
"0.20007324","-10.12","2.86","0.24"
"0.26000977","-10.00","3.10","-0.08"
"0.3100586","-9.69","3.06","0.12"
"0.35998535","-9.65","3.14","0.00"
"0.41003418","-9.57","3.92","-0.39"
"0.45996094","-9.65","2.79","0.31"
"0.51000977","-10.36","1.96","0.27"
"0.5600586","-8.83","1.65","-0.08"
"0.60998535","-10.51","2.08","-1.22"
"0.6600342","-13.85","2.79","-2.28"
"0.70996094","-16.75","7.61","-5.30"
"0.77001953","-6.20","6.35","-2.55"
"0.82006836","-8.83","1.53","-0.59"
"0.8699951","-10.90","4.35","-0.31"
"0.92004395","-9.22","4.55","-0.98"
"0.9699707","-7.73","3.73","-0.27"
"1.0200195","-6.83","4.35","0.78"
"1.0700684","-7.22","2.31","0.90"
"1.1199951","-7.88","2.63","2.35"
"1.170044","-10.12","0.82","2.94"
"1.2199707","-13.96","7.61","5.96"
"1.2800293","-12.00","3.49","-0.67"
"1.329956","-10.20","7.73","0.63"
"1.3800049","-9.81","3.65","-2.39"
"1.4300537","-8.94","4.04","-0.51"
"1.4799805","-7.34","2.94","-0.35"
"1.5300293","-7.30","2.04","-0.82"
"1.579956","-8.43","1.84","0.04"
"1.6300049","-9.22","1.73","-0.16"
"1.6800537","-10.20","2.98","2.00"
"1.7299805","-13.06","1.65","-0.16"
"1.7900391","-12.59","8.47","0.27"
"1.8399658","-10.12","7.57","-7.69"
"1.8900146","-11.18","5.26","-2.94"
"1.9400635","-13.14","-0.59","-0.82"
"1.9899902","-6.90","2.28","-0.31"
"2.040039","-5.57","2.63","-0.75"
"2.0899658","-7.26","3.65","1.77"
"2.1400146","-6.04","3.06","1.29"
"2.1900635","-9.96","0.94","1.88"
"2.2399902","-12.55","8.47","3.30"
"2.3000488","-15.02","2.90","1.06"
"2.3499756","-11.45","13.10","1.18"
"2.4000244","-6.63","1.96","-2.20"
"2.4500732","-10.47","4.98","-0.55"
"2.5","-6.59","3.57","-0.12"
"2.5500488","-6.94","2.43","-0.86"
"2.5999756","-8.67","1.49","-0.24"
"2.6500244","-9.69","2.12","0.31"
"2.7000732","-11.10","1.92","1.77"
"2.75","-12.28","1.14","0.16"
"2.8100586","-12.47","8.08","-1.73"
"2.8599854","-11.45","8.79","-5.02"
"2.9100342","-11.61","5.41","-3.88"
"2.959961","-10.00","1.69","-0.86"
"3.0100098","-6.16","3.26","-0.78"
"3.0600586","-6.08","3.26","-0.31"
"3.1099854","-6.59","4.59","0.98"
"3.1600342","-8.55","1.61","1.53"
"3.209961","-12.63","3.88","1.22"
"3.2700195","-16.83","5.81","5.69"
"3.3200684","-11.81","5.02","-2.20"
"3.369995","-12.55","7.85","0.67"
"3.420044","-8.51","1.49","-1.77"
"3.4699707","-8.71","5.30","-0.43"
"3.5200195","-6.00","4.86","-0.35"
"3.5700684","-7.49","1.14","-1.26"
"3.619995","-9.69","0.63","-0.08"
"3.670044","-9.38","1.77","0.31"
"3.7199707","-10.24","3.73","1.29"
"3.7800293","-12.75","0.71","0.47"
"3.829956","-13.06","7.73","-0.71"
"3.880005","-12.71","12.08","-6.86"
"3.9300537","-14.32","5.10","-5.45"
"3.9799805","-8.83","1.73","-1.06"
"4.0300293","-5.26","2.43","-0.63"
"4.079956","-4.82","3.02","-0.39"
"4.130005","-7.14","4.24","1.84"
"4.1800537","-7.88","2.00","2.31"
"4.2299805","-12.79","1.37","2.79"
"4.290039","-13.85","5.73","6.86"
"4.339966","-12.08","4.20","-0.12"
"4.3900146","-12.04","7.69","0.16"
"4.4400635","-8.71","4.90","-3.18"
"4.48999","-10.75","3.69","0.31"
"4.540039","-6.16","0.94","-0.16"
"4.589966","-7.26","3.53","-0.31"
"4.6400146","-10.79","0.04","0.16"
"4.6900635","-8.83","1.65","0.63"
"4.73999","-10.83","3.18","0.90"
"4.800049","-11.65","2.16","0.51"
"4.8499756","-12.08","6.67","-1.96"
"4.9000244","-11.81","9.10","-7.41"
"4.9500732","-11.38","6.55","-4.71"
"5.0","-8.94","1.77","-0.43"
"5.050049","-6.32","3.14","-1.10"
"5.0999756","-5.41","2.00","0.08"
"5.1500244","-7.22","4.08","1.41"
"5.2000732","-7.34","1.92","2.08"
"5.25","-10.63","1.84","2.24"
"5.3100586","-13.14","6.04","5.02"
"5.3599854","-11.89","5.61","-3.26"
"5.410034","-14.12","4.43","-0.67"
"5.459961","-8.32","2.94","-1.49"
"5.51001","-12.16","5.06","-1.26"
"5.5600586","-4.86","2.00","0.27"
"5.6099854","-7.41","2.98","-0.04"
"5.660034","-10.08","0.24","0.08"
"5.709961","-8.98","1.73","1.33"
"5.76001","-9.53","2.63","0.39"
"5.8200684","-11.14","1.02","0.90"
"5.869995","-12.00","7.26","-2.43"
"5.920044","-12.71","12.75","-7.18"
"5.9699707","-12.40","3.88","-2.71"
"6.0200195","-11.69","-0.43","0.59"
"6.0700684","-5.73","3.14","0.12"
"6.119995","-5.22","3.41","-0.04"
"6.170044","-6.12","3.37","1.06"
"6.2199707","-8.08","2.20","1.61"
"6.2700195","-10.32","2.24","1.22"
"6.329956","-12.28","5.73","5.30"
"6.380005","-12.83","0.24","2.20"
"6.4300537","-17.10","18.55","-0.90"
"6.4799805","-5.96","2.51","-2.35"
"6.5300293","-10.32","5.41","-0.63"
"6.579956","-5.65","2.55","-0.39"
"6.630005","-7.45","3.49","-0.24"
"6.6800537","-10.43","-0.08","0.63"
"6.7299805","-8.55","1.65","0.51"
"6.7800293","-9.85","3.96","0.75"
"6.829956","-12.59","0.59","0.16"
"6.8900146","-14.00","7.30","-0.24"
"6.9400635","-10.87","7.65","-8.20"
"6.98999","-9.61","6.79","-4.04"
"7.040039","-13.57","-0.67","-1.53"
"7.089966","-8.98","2.16","-0.35"
"7.1400146","-5.57","3.57","-1.18"
"7.1900635","-6.59","4.98","1.37"
"7.23999","-4.98","2.04","0.90"
"7.290039","-9.18","1.49","1.61"
"7.339966","-11.65","5.96","-0.86"
"7.4000244","-18.12","4.90","4.67"
"7.4500732","-13.18","12.75","-7.02"
"7.5","-4.12","0.04","-6.51"
"7.550049","-8.55","4.94","-0.90"
"7.5999756","-6.39","4.35","-0.59"
"7.6500244","-6.94","2.47","-0.94"
"7.7000732","-9.53","0.94","-0.71"
"7.75","-9.38","0.31","1.06"
"7.800049","-8.79","2.67","0.67"
"7.8499756","-10.04","2.90","0.63"
"7.910034","-10.63","0.04","0.47"
"7.959961","-10.43","6.39","-0.98"
"8.01001","-16.00","12.40","-7.61"
"8.060059","-12.40","5.96","-6.47"
"8.109985","-11.41","3.22","-0.82"
"8.160034","-5.88","2.71","0.39"
"8.209961","-6.16","1.57","-0.31"
"8.26001","-7.65","5.10","1.33"
"8.310059","-8.36","3.14","2.24"
"8.359985","-9.53","1.65","2.24"
"8.420044","-8.94","5.41","2.28"
"8.469971","-15.30","5.84","-4.39"
"8.52002","-5.14","4.04","-2.86"
"8.570068","-8.63","8.36","-1.88"
"8.619995","-10.98","4.79","-2.43"
"8.670044","-7.34","4.31","-1.61"
"8.719971","-8.00","3.77","-2.24"
"8.77002","-8.90","4.00","-1.65"
"8.820068","-8.51","3.14","-1.33"
"8.869995","-9.06","3.65","-1.26"
"8.930054","-9.26","4.00","-1.22"
"8.97998","-8.51","3.53","-0.94"
"9.030029","-13.61","5.30","-0.94"
"9.079956","-7.92","3.49","-0.16"
"9.130005","-10.63","4.59","-0.78"
"9.180054","-8.98","3.69","-0.51"
"9.22998","-10.12","3.69","-0.27"
"9.280029","-9.89","3.77","-0.12"
"9.329956","-10.08","3.53","-0.16"
"9.380005","-9.89","4.12","-0.20"
"9.440063","-9.34","4.04","-0.04"
"9.48999","-9.41","4.71","-0.39"
"9.540039","-9.38","4.43","0.20"
"9.589966","-9.53","3.84","0.16"
"9.640015","-9.45","4.12","0.98"
"9.690063","-9.65","4.16","1.33"
"9.73999","-9.85","3.80","1.29"
"9.790039","-9.77","3.80","1.53"
"9.839966","-9.65","3.69","1.49"
"9.900024","-9.45","3.57","1.26"
"9.950073","-8.98","3.77","1.41"
"10.0","-9.30","4.16","1.02"
"10.050049","-10.40","4.86","0.47"
"10.099976","-9.45","3.92","0.71"
"10.150024","-9.38","3.88","0.51"
"10.200073","-9.61","4.00","0.39"
"10.25","-9.61","3.65","0.75"
"10.300049","-9.73","4.12","0.35"
"10.349976","-9.53","4.16","0.63"
"10.410034","-9.73","3.96","0.63"
"10.459961","-9.69","4.12","0.47"
"10.51001","-9.49","4.04","0.47"
"10.560059","-9.57","4.20","0.31"
"10.609985","-9.45","4.28","0.31"
"10.660034","-9.73","4.00","0.51"
"10.709961","-9.49","4.04","0.47"
"10.76001","-9.69","4.16","0.12"
"10.810059","-9.57","4.08","0.24"
"10.859985","-9.77","4.08","0.39"
"10.920044","-9.61","4.04","0.39"
"10.969971","-9.69","4.08","0.27"
"11.02002","-9.65","4.08","0.31"
"11.070068","-9.53","4.20","0.08"
"11.119995","-9.57","4.20","-0.04"
"11.170044","-9.61","4.12","0.24"
"11.219971","-9.61","4.12","0.12"
"11.27002","-9.45","4.12","0.16"
