NAME:,run_2_1.csv,,
EXPERIMENT TIME:,09/06/2023 20:10,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,121,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,-10.731,-1.035,-1.23
0.086,-9.986,-0.957,-1.505
0.172,-9.319,-0.957,-1.387
0.258,-9.632,-1.075,-0.877
0.344,-9.75,-2.33,-0.014
0.43,-9.632,-1.114,0.653
0.516,-9.907,1.593,2.182
0.602,-16.458,-2.879,0.417
0.688,-8.22,0.337,-2.878
0.774,-8.652,-1.467,-2.486
0.86,-9.083,-1.075,-1.897
0.946,-7.671,0.298,-1.073
1.032,-10.574,0.965,1.123
1.118,-11.908,1.985,-0.485
1.204,-13.516,-0.133,-5.114
1.29,-13.555,0.73,-3.623
1.376,-4.925,-0.604,-1.505
1.462,-7.75,-2.291,-0.446
1.548,-10.182,0.455,1.751
1.634,-10.495,-0.722,-6.487
1.72,-17.321,1.044,-7.153
1.806,-17.713,-2.251,-1.819
1.892,-7.004,0.102,-1.348
1.978,1.429,0.887,-1.309
2.064,-0.1,0.534,-5.898
2.15,-19.871,-2.212,-10.841
2.236,-16.772,0.298,1.79
2.322,-2.532,3.593,-0.406
2.408,0.174,-0.604,0.456
2.494,-13.516,-7.233,-20.569
2.58,-14.34,0.455,-0.093
2.666,-8.652,1.044,-2.054
2.752,-0.767,0.024,-0.995
2.838,-1.277,-0.408,-1.583
2.924,-12.653,-5.193,-4.682
3.01,-13.516,5.594,-2.878
3.096,-2.023,2.22,-2.486
3.182,1.233,-1.663,-2.603
3.268,-10.142,-6.331,-20.569
3.354,-18.615,0.063,4.144
3.44,-10.535,3.319,-0.093
3.526,1.429,-0.8,-3.27
3.612,-1.12,-1.506,-4.525
3.698,-19.871,-3.389,-15.705
3.784,-13.83,0.534,1.712
3.87,-0.022,4.809,-3.192
3.956,0.723,-2.565,-5.231
4.042,-14.261,-12.254,-20.569
4.128,-16.929,1.867,7.203
4.214,-5.984,0.573,-2.015
