NAME:,walk_1_2.csv,,
EXPERIMENT TIME:,06/6/2023 13:34,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,63,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.0,-7.62,-3.414,-2.234
0.086,-12.288,-6.552,-1.41
0.172,-7.267,-5.807,-0.586
0.258,-8.209,-5.846,-0.586
0.344,-8.13,-6.082,-0.508
0.43,-8.209,-5.062,-0.704
0.516,-8.327,-4.865,-0.743
0.602,-9.15,-5.219,-1.488
0.688,-9.346,-5.375,-1.528
0.774,-9.935,-4.199,-1.449
0.86,-9.856,-4.003,-1.253
0.946,-9.778,-3.571,-1.332
1.032,-9.503,-3.493,-1.332
1.118,-9.817,-3.375,-1.057
1.204,-10.994,-3.375,-0.665
1.29,-10.955,-3.493,0.512
1.376,-10.719,-4.277,0.081
1.462,-8.444,-3.806,0.63
1.548,-9.189,-2.237,1.807
1.634,-7.895,-2.59,2.473
1.72,-8.405,-1.1,3.493
1.806,-9.974,-1.767,4.592
1.892,-7.895,-1.531,4.984
1.978,-14.093,-9.886,-0.116
2.064,-6.522,-2.551,-1.175
2.15,-8.562,-3.061,-0.508
2.236,-8.836,-3.649,-0.782
2.322,-8.915,-3.022,-0.665
2.408,-9.386,-4.826,-1.41
2.494,-10.249,-5.022,-1.802
2.58,-14.014,-3.846,-0.861
2.666,-13.034,-3.1,1.336
2.752,-9.346,-2.669,0.865
2.838,-4.835,-3.571,0.865
2.924,-7.62,-3.375,1.767
3.01,-10.327,-4.003,3.925
3.096,-10.484,-0.198,4.121
3.182,-6.875,-6.042,-0.312
3.268,-12.014,-3.61,-1.488
3.354,-8.836,-2.12,-0.665
3.44,-9.974,-2.159,-0.508
3.526,-8.719,-3.022,-1.371
3.612,-9.817,-5.022,-2.077
3.698,-13.544,-4.709,-3.371
3.784,-8.013,-4.905,-0.272
3.87,-10.837,-4.003,0.355
3.956,-6.208,-4.316,0.551
4.042,-7.973,-1.923,2.16
4.128,-7.189,-2.708,2.826
4.214,-13.034,-1.767,4.513
4.3,-15.191,-6.748,4.16
4.386,-6.326,-4.199,-0.979
4.472,-9.699,-4.159,-1.214
4.558,-8.954,-2.473,-0.822
4.644,-9.66,-1.257,0.002
4.73,-9.543,-2.355,-1.057
4.816,-9.543,-3.924,-0.782
4.902,-13.269,-7.258,-0.9
4.988,-12.563,-5.572,0.12
5.074,-7.503,-3.179,0.512
5.16,-7.071,-4.63,1.022
5.246,-7.346,-2.551,2.199
5.332,-9.386,-1.923,5.337
5.418,-9.699,-0.59,4.984
5.504,-2.796,-6.16,-1.802
5.59,-16.172,-3.375,-0.469
5.676,-7.699,-2.786,-1.096
5.762,-9.464,-1.727,-0.351
5.848,-9.072,-3.022,-0.116
5.934,-9.817,-3.336,-1.763
6.02,-13.779,-4.748,-0.979
6.106,-13.779,-6.827,0.551
6.192,-8.523,-2.433,0.787
6.278,-6.797,-2.983,1.1
6.364,-7.424,-3.1,1.61
6.45,-8.601,-2.943,3.376
6.536,-10.17,-0.786,5.102
6.622,-6.601,-6.591,-1.292
6.708,-13.191,-3.179,-1.057
6.794,-7.346,-4.042,-1.41
6.88,-9.739,-1.374,-0.861
6.966,-9.111,-2.159,-0.469
7.052,-9.778,-4.434,-1.292
7.138,-13.818,-4.826,-0.586
7.224,-8.13,-3.924,1.336
7.31,-9.974,-4.199,2.042
7.396,-5.306,-3.257,0.512
7.482,-5.581,-3.257,1.767
7.568,-10.249,-0.472,5.886
7.654,-10.562,-0.041,6.475
7.74,-11.425,-9.533,-2.43
7.826,-10.131,-1.061,-1.214
7.912,-6.914,-4.434,-0.508
7.998,-10.249,-1.923,-0.429
8.084,-9.111,-0.315,-0.979
8.17,-10.406,-6.945,-2.626
8.256,-13.661,-5.885,-3.175
8.342,-13.112,-4.042,2.277
8.428,-8.993,-2.551,0.826
8.514,-5.385,-3.453,0.63
8.6,-5.738,-2.865,2.081
8.686,-11.661,-1.649,4.945
8.772,-7.973,-0.041,5.258
8.858,-5.894,-4.159,-3.371
8.944,-9.386,-2.904,-1.881
9.03,-8.64,-2.473,-0.822
9.116,-10.092,0.352,0.551
9.202,-8.366,-3.257,-0.469
9.288,-10.17,-4.591,-2.155
9.374,-13.622,-7.964,-3.411
9.46,-13.151,-2.394,1.218
9.546,-7.032,-2.983,0.787
9.632,-5.345,-2.865,1.297
9.718,-6.718,-3.022,2.709
9.804,-11.935,-1.178,3.807
9.89,-16.799,-5.572,-3.567
9.976,-10.798,-3.1,-2.901
10.062,-7.267,-6.474,-1.057
10.148,-9.268,-1.335,-1.135
10.234,-9.699,-1.021,-0.939
10.32,-9.307,-4.905,-2.312
10.406,-14.995,-4.395,-1.92
10.492,-13.701,-4.63,1.689
10.578,-8.17,-2.512,0.826
10.664,-4.443,-3.179,0.316
10.75,-5.306,-2.826,2.042
10.836,-14.25,-0.904,4.435
10.922,-6.757,0.744,5.768
11.008,-5.62,-5.572,-3.175
11.094,-10.131,-1.57,-1.449
11.18,-7.464,-2.983,-0.547
11.266,-9.503,-0.198,-0.116
11.352,-9.229,-4.199,-0.782
11.438,-10.719,-3.532,-0.9
11.524,-7.973,-4.905,-2.43
11.61,-13.936,-2.708,1.414
11.696,-7.071,-1.57,0.041
11.782,-3.894,-2.041,0.512
11.868,-6.836,-3.296,2.552
11.954,-10.366,1.411,4.866
12.04,-19.741,-7.729,-0.9
12.126,-4.6,-4.748,-1.528
12.212,-8.248,-7.807,-3.097
12.298,-9.346,0.273,-0.429
12.384,-8.523,-2.041,-0.508
12.47,-10.131,-4.787,-1.959
12.556,-13.779,-8.004,-2.783
12.642,-16.486,-1.845,-0.704
12.728,-8.052,-1.178,0.747
12.814,-4.208,-2.983,0.747
12.9,-6.208,-2.12,2.395
12.986,-14.446,-1.531,5.141
13.072,-14.014,-8.357,6.906
13.158,-3.345,-4.591,-2.155
13.244,-8.248,-6.866,-2.038
13.33,-9.346,0.195,-1.018
13.416,-9.778,-0.629,-0.9
13.502,-10.209,-4.395,-2.469
13.588,-12.641,-1.806,-1.096
13.674,-11.151,-3.336,1.689
13.76,-10.641,-2.669,1.963
13.846,-5.934,-2.63,0.904
13.932,-4.325,-2.394,1.414
14.018,-9.229,-3.806,4.396
14.104,-8.483,-0.001,5.258
14.19,-10.68,-7.729,-1.096
14.276,-9.974,-2.277,-1.606
14.362,-7.503,-5.022,0.159
14.448,-9.778,2.235,0.394
14.534,-8.601,-0.786,-0.861
14.62,-9.189,-5.964,-3.254
14.706,-17.349,-9.024,-2.43
14.792,-14.995,-2.551,-0.076
14.878,-6.875,-3.571,-0.272
14.964,-6.365,-2.708,1.257
15.05,-6.13,-2.277,1.689
15.136,-12.602,-2.316,4.121
15.222,-19.741,-6.866,3.925
15.308,-3.933,-5.219,-4.391
15.394,-10.798,-5.493,-1.645
15.48,-7.581,-1.414,-0.979
15.566,-9.974,0.862,-0.39
15.652,-10.249,-3.022,-2.077
15.738,-11.504,-4.081,-1.135
15.824,-15.152,-8.082,-1.567
15.91,-8.68,-1.1,1.297
15.996,-5.816,-3.375,0.591
16.082,-4.914,-2.08,1.14
16.168,-12.563,-0.315,5.18
16.254,-8.17,0.901,4.827
16.34,-9.621,-10.083,-7.333
16.426,-9.778,-1.296,-2.391
16.512,-7.464,-3.218,-1.802
16.598,-8.719,0.234,-0.547
16.684,-9.464,-0.237,-0.508
16.77,-10.249,-4.748,-1.724
16.856,-9.15,-6.082,-2.234
16.942,-14.485,-2.747,1.571
17.028,-5.502,-1.453,-0.155
17.114,-5.659,-3.649,0.669
17.2,-4.129,-4.238,1.767
17.286,-15.976,-1.217,4.278
17.372,-19.741,-4.512,-2.038
17.458,-9.15,-2.316,-1.959
17.544,-10.406,-7.18,-1.332
17.63,-8.052,-0.198,-0.626
17.716,-9.425,0.94,-1.096
17.802,-9.425,-5.689,-1.92
17.888,-12.72,-1.61,-0.861
17.974,-15.936,1.96,0.747
18.06,-7.15,-2.865,-1.096
18.146,-8.876,-2.316,-0.116
18.232,-6.875,-4.042,-0.037
18.318,-9.974,-2.747,1.767
18.404,-11.229,0.665,1.571
18.49,-19.741,-5.219,-2.94
18.576,-4.875,-3.1,-3.332
18.662,-9.189,-2.826,-3.097
18.748,-8.915,-3.336,-2.116
18.834,-8.876,-2.041,-0.665
18.92,-9.856,-1.296,-2.548
19.006,-10.445,-3.257,-2.705
19.092,-13.23,-5.964,-2.038
19.178,-9.111,-3.493,0.865
19.264,-9.503,-3.14,-0.194
19.35,-6.797,-4.395,0.198
19.436,-7.464,-2.041,1.1
19.522,-8.17,-5.454,0.512
19.608,-10.994,0.077,3.258
19.694,-9.778,1.136,5.062
19.78,-6.836,-6.513,-2.665
19.866,-9.974,-2.943,-1.332
19.952,-7.228,-4.356,-0.665
20.038,-9.621,-1.061,-0.704
20.124,-8.915,-0.276,-0.782
20.21,-9.699,-5.689,-2.195
20.296,-14.132,-4.552,-1.92
20.382,-13.426,-2.904,1.454
20.468,-9.229,-3.846,1.493
20.554,-5.463,-3.649,-0.194
20.64,-6.365,-2.747,1.336
20.726,-8.209,-2.277,2.473
20.812,-13.308,-1.021,5.141
20.898,-5.267,-4.159,3.062
20.984,-4.208,-2.826,-3.332
21.07,-10.641,-6.827,-2.038
21.156,-9.464,-0.825,-0.861
21.242,-9.739,0.94,-0.155
21.328,-9.229,-3.257,-1.842
21.414,-10.523,-1.57,-3.175
21.5,-13.034,-5.532,-0.272
21.586,-10.641,-3.1,2.277
21.672,-5.267,-1.688,0.747
21.758,-5.345,-3.649,1.022
21.844,-10.406,-3.14,3.964
21.93,-9.974,0.862,5.69
22.016,-9.346,-7.925,-1.92
22.102,-9.268,-1.649,-2.234
22.188,-7.856,-3.179,-0.9
22.274,-9.464,-0.59,-0.076
22.36,-8.68,-2.394,-0.194
22.446,-9.307,-4.277,-1.096
22.532,-14.72,-3.689,-0.508
22.618,-16.29,-3.218,-0.194
22.704,-7.856,-2.12,1.061
22.79,-5.541,-3.1,0.394
22.876,-5.541,-4.316,0.747
22.962,-10.131,-3.493,2.983
23.048,-10.445,-0.237,4.945
23.134,-6.561,-6.238,-1.645
23.22,-12.877,-4.826,-1.292
23.306,-8.523,-2.943,-1.606
23.392,-9.503,-0.825,-0.469
23.478,-8.758,-1.845,-0.272
23.564,-10.013,-3.806,-1.292
23.65,-11.739,-0.864,-1.41
23.736,-19.035,-4.826,1.257
23.822,-7.895,-1.492,1.61
23.908,-5.541,-4.199,0.708
23.994,-5.463,-4.159,0.12
24.08,-10.68,-2.041,4.827
24.166,-10.719,-0.08,4.945
24.252,-16.172,-8.553,-3.293
24.338,-7.267,-1.257,-0.39
24.424,-7.071,-6.631,-2.116
24.51,-9.307,-0.472,-0.9
24.596,-8.248,-0.786,-0.704
24.682,-9.739,-2.355,-0.704
24.768,-14.838,-5.925,-1.763
24.854,-14.564,-6.984,0.316
24.94,-10.602,-1.57,1.532
25.026,-4.325,-1.296,0.394
25.112,-6.757,-3.493,1.375
25.198,-9.425,-2.943,3.101
25.284,-10.013,0.548,4.592
25.37,-19.741,-10.2,-3.136
25.456,-6.757,-1.767,-1.096
25.542,-7.307,-7.768,-1.881
