NAME:,walk1_4.csv,,
EXPERIMENT TIME:,06/6/2023 13:21,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,181,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.0,1.181,10.092,0.823
0.086,1.338,9.856,0.744
0.172,1.456,10.013,0.627
0.258,1.377,9.817,0.391
0.344,1.495,9.896,0.627
0.43,0.789,10.249,0.117
0.516,1.456,11.033,0.47
0.602,1.927,10.327,0.431
0.688,1.887,9.19,2.353
0.774,1.73,9.346,3.255
0.86,2.633,8.013,2.745
0.946,1.848,8.209,3.686
1.032,1.966,8.837,3.922
1.118,2.044,9.033,4.942
1.204,5.026,14.524,3.019
1.29,0.985,9.778,0.313
1.376,0.514,8.954,-0.432
1.462,0.436,9.15,-0.158
1.548,-0.113,8.837,-0.276
1.634,-0.231,10.209,0.274
1.72,-0.702,9.464,0.47
1.806,-0.388,9.346,1.097
1.892,-1.172,12.132,1.529
1.978,-0.858,14.642,-1.805
2.064,1.691,10.759,-2.982
2.15,0.593,8.209,-0.472
2.236,0.083,8.954,1.294
2.322,0.711,6.758,1.725
2.408,0.279,6.875,3.098
2.494,0.671,12.72,3.882
2.58,1.103,7.934,6.118
2.666,5.182,13.23,-0.589
2.752,-2.349,8.091,-0.707
2.838,1.221,7.895,0.234
2.924,0.279,9.739,0.195
3.01,-1.172,8.954,0.862
3.096,-0.192,9.935,1.019
3.182,-2.545,9.856,0.666
3.268,-0.388,13.583,-0.55
3.354,-1.368,11.072,-4.277
3.44,2.633,11.426,-0.354
3.526,-0.466,7.777,0.234
3.612,0.593,7.228,2.666
3.698,0.475,6.208,3.647
3.784,0.632,12.642,1.686
3.87,0.358,10.916,5.608
3.956,3.574,11.269,-0.315
4.042,0.005,7.974,-1.57
4.128,1.691,8.601,0.391
4.214,-0.349,9.582,0.195
4.3,-1.486,9.268,1.333
4.386,0.083,10.209,1.058
4.472,-1.721,10.759,1.764
4.558,-0.623,14.014,-2.433
4.644,1.064,10.563,-2.472
4.73,1.338,8.719,-0.432
4.816,0.044,8.209,0.784
4.902,1.26,8.013,2.039
4.988,0.122,6.561,3.608
5.074,0.671,12.916,2.745
5.16,0.789,10.249,0.98
5.246,5.339,11.426,-1.452
5.332,-1.918,9.033,-0.707
5.418,2.829,8.287,-0.158
5.504,-0.545,9.425,0.117
5.59,-0.937,9.582,0.666
5.676,-1.094,9.935,0.823
5.762,-1.878,10.092,1.097
5.848,-0.035,14.76,-2.002
5.934,0.083,9.739,-3.257
6.02,0.475,9.7,-0.668
6.106,-0.388,9.072,1.019
6.192,0.593,7.464,1.372
6.278,0.397,6.601,2.98
6.364,0.711,11.308,1.803
6.45,-1.172,10.17,6.785
6.536,2.633,14.76,-0.276
6.622,0.475,7.15,-0.707
6.708,1.613,9.739,0.587
6.794,-0.113,8.68,0.352
6.88,-1.29,8.876,1.411
6.966,0.475,9.543,0.94
7.052,-3.565,10.955,2.117
7.138,-0.152,15.387,-3.1
7.224,1.534,11.7,-2.237
7.31,0.397,8.601,-0.589
7.396,0.358,7.856,0.431
7.482,0.593,7.581,1.882
7.568,-0.349,6.326,2.549
7.654,1.103,14.642,2.47
7.74,0.711,14.014,-0.001
7.826,4.398,8.248,-0.629
7.912,0.044,9.582,-0.668
7.998,1.495,8.523,1.254
8.084,-0.662,8.562,1.058
8.17,-1.094,9.229,1.843
8.256,-0.152,10.719,1.058
8.342,-1.721,11.465,2.039
8.428,-1.918,12.916,-3.963
8.514,1.73,12.995,-0.393
8.6,-1.329,7.738,1.019
8.686,-0.349,6.248,1.294
8.772,0.436,7.189,2.784
8.858,0.005,9.739,2.156
8.944,1.299,14.603,5.765
9.03,-0.152,13.465,1.725
9.116,2.593,10.209,-0.864
9.202,0.946,9.307,-0.04
9.288,0.358,6.797,0.313
9.374,-0.545,9.425,0.666
9.46,-0.937,8.64,2.0
9.546,-0.27,10.406,0.627
9.632,-1.29,16.054,-0.236
9.718,-1.29,9.072,-3.649
9.804,1.142,10.366,-0.276
9.89,0.122,10.053,0.94
9.976,0.318,6.208,2.666
10.062,0.161,6.797,3.49
10.148,0.358,11.582,1.96
10.234,0.671,13.936,4.079
10.32,4.516,8.405,-0.276
10.406,-1.408,10.719,-0.158
10.492,1.652,8.327,0.47
10.578,-0.584,8.876,0.587
10.664,-1.565,8.758,1.372
10.75,-1.251,10.563,0.352
10.836,-1.957,11.975,-0.472
10.922,-1.918,10.68,-4.983
11.008,0.867,11.935,-1.139
11.094,-0.976,9.033,0.862
11.18,0.632,7.581,1.568
11.266,0.044,7.111,2.156
11.352,0.24,8.719,2.941
11.438,0.554,10.013,6.079
11.524,2.829,14.838,-0.197
11.61,-0.898,9.111,-0.707
11.696,2.437,8.954,0.431
11.782,0.083,8.287,-0.315
11.868,-2.074,9.111,1.176
11.954,-0.27,10.327,1.45
12.04,-1.878,10.327,1.568
12.126,0.201,14.564,-0.942
