NAME:,run_4_1.csv
EXPERIMENT TIME:,2023/05/22 08:44:55
ACTIVITY TYPE:,Running
COUNT OF ACTUAL STEPS:,220

Time [sec],ACC X,ACC Y,ACC Z
0.0,0.274586,-8.5906,-4.5503
0.07100000000014006,1.29448,-7.7669,-4.7856
0.14200000000005275,0.902212,-9.4928,-4.3934
0.2130000000001928,-2.6282,-9.6105,-4.8641
0.2840000000001055,0.902212,-8.6691,-4.6287
0.3550000000000182,0.588399,-8.8652,-4.3542
0.42600000000015825,-1.4514,-8.2376,-5.0995
0.49700000000007094,-0.54917,-8.1984,-4.7464
0.5679999999999836,-0.66685,-7.9238,-4.9426
0.6390000000001237,-0.39227,-9.8459,-6.4724
0.7100000000000364,1.52984,-10.003,-4.5503
0.7810000000001764,4.43261,-7.2961,-7.8845
0.8520000000000891,4.55029,-13.494,-8.4729
0.9230000000000018,2.31437,-13.612,-9.8067
0.9940000000001419,-0.03923,-8.3553,-8.0807
1.0650000000000546,3.41271,-3.4519,-4.9818
1.1360000000001946,0.941438,0.706079,0.039227
1.2070000000001073,5.49172,1.96133,-1.6867
1.27800000000002,13.6509,-13.729,-10.552
1.34900000000016,1.9221,-13.612,-12.356
1.4200000000000728,-1.8044,-9.1006,-3.805
1.4909999999999854,-2.432,1.01989,-4.1188
1.5620000000001255,-2.8635,1.01989,1.45138
1.6330000000000382,2.5105,-3.7658,-7.6884
1.7040000000001783,4.15802,-15.455,-12.866
1.775000000000091,0.666852,-9.3752,-9.7282
1.8460000000000036,6.74698,-4.7072,-5.6486
1.9170000000001437,4.15802,2.90277,-1.6475
1.9880000000000564,1.3337,2.78509,-2.432
2.0590000000001965,11.8857,-12.984,-18.946
2.130000000000109,2.5105,-14.945,-16.514
2.201000000000022,-2.3144,-4.8641,-8.4337
2.272000000000162,-1.8829,-1.4906,-2.3536
2.3430000000000746,-3.8834,1.1768,4.58951
2.4139999999999873,-0.43149,-1.2553,-5.0602
2.4850000000001273,14.4746,-10.081,-8.3553
2.55600000000004,0.980665,-11.297,-11.258
2.62700000000018,1.7652,-2.6674,-5.4133
2.6980000000000928,5.37404,2.5105,-0.90221
2.7690000000000055,2.86354,3.37349,-1.6083
2.8400000000001455,9.53206,-8.5906,-19.888
3.1240000000000236,-3.2558,0.745305,1.80442
3.1950000000001637,20.0056,-13.769,-1.216
3.2660000000000764,-1.4514,-14.945,-13.141
3.336999999999989,1.68674,-6.8647,-8.9437
3.408000000000129,6.31548,-3.9227,-2.2751
3.479000000000042,2.86354,3.21658,0.196133
3.550000000000182,4.47183,3.0989,-3.4519
3.6210000000000946,8.59063,-19.26,-18.397
3.6920000000000073,0.039227,-8.316,-9.179
3.7630000000001473,-1.4122,-5.8055,-4.9033
3.83400000000006,-2.1575,4.47183,-2.079
3.9050000000002,-3.8834,0.980665,3.13813
3.9760000000001128,6.98234,-10.16,8.11991
4.0470000000000255,0.23536,-15.102,-13.415
4.1180000000001655,2.43205,-3.8442,-6.3155
4.189000000000078,5.4525,-0.31381,-0.5884
4.259999999999991,6.6293,8.66908,-2.432
4.331000000000131,9.37516,4.23647,-6.747
4.402000000000044,16.9067,-20.006,9.25748
4.473000000000184,-1.2553,-4.9426,-8.0415
4.544000000000096,-2.6282,-5.4917,-3.4912
4.615000000000009,-1.8044,0.862985,-0.98067
4.686000000000149,-2.079,1.7652,2.54973
4.757000000000062,18.3188,-14.435,-20.006
4.828000000000202,-3.805,-19.417,-14.749
4.899000000000115,1.88288,-4.668,-5.5702
4.970000000000027,6.66852,-0.43149,-2.2751
5.041000000000167,5.17791,9.06135,-3.2558
5.11200000000008,7.963,-1.0983,-11.846
5.182999999999993,2.39282,-20.006,6.1978
5.254000000000133,-2.1182,-6.3939,-7.4531
5.3250000000000455,-1.4122,-2.1967,-2.5497
5.3960000000001855,-1.3729,3.02045,-1.5691
5.467000000000098,-2.079,1.01989,-1.0591
5.538000000000011,20.0056,-17.809,7.25692
5.609000000000151,-0.66685,-16.789,-8.826
5.680000000000064,3.33426,-5.1779,-3.0989
5.751000000000204,4.74642,1.21602,-1.3337
5.822000000000116,3.45194,8.62985,-1.3337
5.893000000000029,13.0232,-8.1199,-16.75
5.964000000000169,-19.496,-20.006,-8.6299
6.035000000000082,-0.78453,-9.0221,-4.2365
6.1059999999999945,-0.98067,-0.66685,-1.0983
6.177000000000135,-1.7652,0.980665,-0.43149
6.248000000000047,-0.74531,0.862985,-0.27459
6.319000000000187,10.1205,-19.26,-9.9636
6.3900000000001,-3.8442,-12.121,-6.9823
6.461000000000013,3.56962,-0.82376,-4.8249
6.532000000000153,6.27626,10.2774,-4.1972
6.6030000000000655,2.98122,9.1398,0.706079
6.6740000000002055,17.1028,-17.456,-20.006
6.745000000000118,-14.161,-14.357,-12.239
6.816000000000031,-4.0403,-13.102,-3.9227
6.887000000000171,-2.5497,1.64752,-3.2558
6.958000000000084,-2.1182,3.80498,-1.0983
7.028999999999996,5.29559,-1.1768,-5.4917
7.100000000000136,10.8658,-20.006,-4.1188
7.171000000000049,-0.74531,-5.4133,-10.003
7.242000000000189,4.39338,-0.86299,-3.6481
7.313000000000102,1.21602,8.31604,-3.0989
7.3840000000000146,3.96189,0.313813,-2.8243
7.597000000000207,-3.0204,-4.4718,-6.3547
7.66800000000012,-0.31381,-0.31381,-1.6475
7.739000000000033,-0.35304,0.902212,1.37293
7.810000000000173,-1.3337,1.60829,-2.079
7.8810000000000855,8.27681,-20.006,-3.3343
