NAME:,run_2_1,,
EXPERIMENT TIME:,06/06/2023 12:45,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,170,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,-0.71,0.51,10.04
0.067,1.41,0.59,8.24
0.134,1.73,-2.71,9.14
0.201,-3.92,-3.33,12.94
0.268,-7.96,-0.16,18.4
0.335,-4.31,-3.96,12.04
0.402,1.53,-11.77,10.98
0.469,5.37,-10.94,2.9
0.536,0.16,-4,0.78
0.603,-13.53,-20.01,20.01
0.67,-3.8,-3.8,10.98
0.737,-7.69,4.94,1.69
0.804,-0.04,-4.9,3.06
0.871,1.84,-1.1,-4.82
0.938,20.01,-20.01,20.01
1.005,-12.55,0.98,-11.1
1.072,-4.86,15.73,-0.12
1.139,-9.34,-19.53,20.01
1.206,0.12,-12.4,3.77
1.273,1.88,9.92,-12.94
1.34,-19.93,-20.01,20.01
1.407,-6,-0.51,6.86
1.474,-4.86,1.84,-0.16
1.541,-1.26,-2.2,0.24
1.608,-0.82,3.1,-6.55
1.675,-18.87,20.01,19.53
1.742,-10.24,-2.9,8.43
1.809,-1.96,6.94,-0.16
1.876,-6.35,-11.96,15.81
1.943,5.33,-14.24,-0.47
2.01,-2.2,-7.3,19.14
2.077,-11.65,1.37,13.06
2.144,-2.9,0.67,-2.63
2.211,-1.29,-1.06,-0.27
2.278,1.22,-1.57,-1.84
2.345,-7.02,-20.01,20.01
2.412,-2.55,-2.63,2.08
2.479,-4.9,0.9,10.12
2.546,-0.98,-6.2,14.59
2.613,2.51,-12.51,3.41
2.68,3.96,6.28,-13.1
2.747,-17.1,1.73,20.01
2.814,-5.37,0.67,4.16
2.881,-3.41,-0.98,0.35
2.948,-0.9,-2.82,0.16
3.015,-5.81,-3.06,4.04
3.082,-3.92,6.83,6.43
3.149,-6.98,-1.29,5.33
3.216,1.61,8.28,0.31
3.283,20.01,14.95,7.34
3.35,1.53,-5.77,0.55
3.417,-6.04,-20.01,20.01
3.484,-10.2,-6.59,16.2
3.551,-5.26,-0.63,-0.24
3.618,-1.1,-1.37,1.02
3.685,1.84,4.9,-10
3.752,17.81,20.01,20.01
3.819,-8.47,-0.94,2.94
3.886,-4.16,10.32,0.04
3.953,-4.94,-15.65,18.12
4.02,1.06,-12,3.92
4.087,3.49,20.01,-9.34
4.154,-8.2,8.94,10.51
4.221,-4.12,1.14,-0.08
4.288,-2.24,0.35,-0.24
4.355,-0.51,-3.69,-0.12
4.422,-6.9,-6.55,16.55
4.489,-7.96,2.2,6.24
4.556,-5.1,2.31,6.04
4.623,-2.24,2.35,3.3
4.69,8.67,-19.65,20.01
4.757,4.31,-6.67,1.96
4.824,-20.01,-9.02,20.01
4.891,-7.73,-5.14,11.3
4.958,-3.18,2.24,-1.8
5.025,-0.75,-0.82,-0.16
5.092,0.71,7.3,-6.71
5.159,-20.01,-20.01,20.01
5.226,-10.47,-8.08,5.22
5.293,-4.82,9.53,1.77
5.36,-8.39,-14.08,18.83
5.427,4.2,-3.73,-0.31
5.494,-0.08,20.01,-11.53
5.561,-13.93,0.2,15.69
5.628,-4.94,2.08,-0.35
5.695,-1.14,-1.18,-0.78
5.762,-1.22,-3.41,-0.47
5.829,-10.32,-19.89,20.01
5.896,-4.28,-0.75,5.92
5.963,-14.44,-0.47,8.75
6.03,-3.18,0.75,5.41
6.097,15.14,-3.37,7.37
6.164,3.61,-6.24,0.55
6.231,20.01,-20.01,20.01
6.298,-9.49,-5.73,12.2
6.365,-5.14,-0.67,-1.26
6.432,-0.75,0.04,-0.9
6.499,0.43,1.69,-1.22
6.566,-4.82,-14.24,20.01
6.633,-11.57,-2.9,5.14
6.7,-5.37,11.81,-1.92
6.767,-8.32,-2.59,17.61
6.834,2,-14,3.92
6.901,3.92,3.41,-12.47
6.968,-20.01,-20.01,20.01
7.035,-6.2,-0.08,3.3
7.102,-2.79,0.9,-1.26
7.169,-1.22,-1.84,-0.51
7.236,-2.86,-3.53,4.31
7.303,-4.67,7.61,17.26
7.37,-11.65,-7.26,11.34
7.437,-4.59,7.92,4.82
7.504,-7.96,-12.71,15.06
7.571,0.67,-10.63,3.73
7.638,5.77,20.01,-20.01
7.705,-7.85,7.02,11.06
7.772,-4.63,0.63,2.28
7.839,-2.71,-1.69,1.57
7.906,0.31,-2.79,0.55
7.973,-3.22,-12.24,20.01
8.04,-16.75,-7.14,17.53
8.107,-4.16,-2.79,3.61
8.174,-2.59,1.37,4.86
8.241,18.36,-14.28,20.01
8.308,1.45,-6.55,0.98
8.375,-18.01,-20.01,20.01
8.442,-6.55,-5.81,15.18
8.509,-2.98,3.1,-1.02
8.576,-1.29,-1.96,1.45
8.643,-0.75,1.53,-3.02
8.71,0.63,20.01,20.01
8.777,-7.53,0.75,5.61
8.844,-16.63,0.08,14.83
8.911,-6.24,-7.34,14.4
8.978,2.75,-14.67,1.41
9.045,6.35,10.47,-12.08
9.112,-20.01,3.33,20.01
9.179,-5.18,-0.24,4.94
9.246,-2.16,1.61,-1.06
9.313,-0.67,-2.16,-0.43
9.38,-5.1,-4.71,9.57
9.447,-7.26,3.33,10.87
9.514,-5.45,0.31,6.28
9.581,-0.94,5.53,6.35
9.648,20.01,4.75,20.01
9.715,2.59,-6.59,1.1
9.782,-17.57,-20.01,20.01
9.849,-8.16,-10,11.69
9.916,-2.79,1.14,-2.86
9.983,-0.12,-3.8,0.9
10.05,0,5.41,-4.2
10.117,-3.84,-15.69,20.01
10.184,-2.94,-3.37,4.04
10.251,-6.43,6.39,7.81
10.318,-4.59,-4.55,12.12
10.385,4.86,-12.16,0.59
10.452,6.59,11.85,-13.14
10.519,-15.85,2.04,17.18
10.586,-4.55,0.71,1.49
10.653,-1.73,1.14,-1.33
10.72,-0.94,-2.55,-0.94
10.787,-5.06,-2.94,8.79
10.854,-10.12,0.75,15.38
10.921,-3.77,3.84,2.79
10.988,-2.94,4.98,5.18
11.055,20.01,18.08,19.89
11.122,1.1,-6.39,2.51
11.189,20.01,-20.01,20.01
11.256,-9.34,-7.26,16.24
11.323,-2.39,-0.12,-2.39
11.39,-0.86,1.49,-1.45
11.457,2.08,-2.79,-1.02
11.524,-12.75,-17.5,20.01
11.591,-10.24,-7.65,12.47
11.658,-3.33,6,-0.24
11.725,-3.73,-1.73,8.71
11.792,10.67,-6.83,3.26
11.859,5.88,8.51,-9.85
11.926,-20.01,19.3,20.01
11.993,-4.51,1.26,3.84
12.06,-1.45,1.92,-0.35
