NAME:,walk_4_2,,
EXPERIMENT TIME:,30/05/2023 13:05,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,100,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,2.47,-9.41,-3.92
0.067,2.47,-9.69,-5.49
0.134,2.75,-11.3,-4
0.201,3.77,-10,-5.77
0.268,2.39,-11.14,-0.78
0.335,2,-8.75,-3.41
0.402,1.26,-7.3,-4.08
0.469,2.04,-8.16,-3.06
0.536,1.92,-7.85,-4.2
0.603,0.82,-7.88,-3.41
0.67,4.2,-8.39,-3.69
0.737,1.92,-10.9,-0.27
0.804,7.37,-8.79,-6.63
0.871,1.06,-12.79,-3.22
0.938,1.57,-11.81,-2.59
1.005,1.33,-7.77,-7.65
1.072,-0.43,-6.94,-6.63
1.139,-0.08,-7.41,-4.59
1.206,-0.08,-7.69,-4.86
1.273,0.67,-8,-2.35
1.34,1.53,-11.41,-1.73
1.407,6.67,-9.85,-6
1.474,4.04,-8.55,-6.51
1.541,0.47,-14.47,-5.88
1.608,5.84,-10.71,-3.88
1.675,-4.04,-10.2,-1.02
1.742,2.51,-5.92,-7.26
1.809,4.08,-9.06,-1.84
1.876,1.37,-8,-2.79
1.943,0,-7.1,-3.41
2.01,3.22,-8.94,-3.53
2.077,7.18,-11.73,-5.65
2.144,7.14,-14.08,-8.2
2.211,-0.75,-7.77,-3.57
2.278,-1.61,-6.55,-7.96
2.345,-1.14,-9.38,-5.26
2.412,1.53,-8.04,-3.77
2.479,-1.26,-7.92,-2.28
2.546,1.45,-7.26,-4.82
2.613,3.18,-8.32,-4.28
2.68,-0.08,-10.94,-2.98
2.747,4.51,-9.69,-10.36
2.814,1.69,-12.08,-5.41
2.881,-2.47,-9.73,-1.73
2.948,-2.94,-10.16,-2.24
3.015,0,-6.94,-4.9
3.082,-0.08,-7.69,-3.49
3.149,-0.86,-7.34,-4.08
3.216,6.55,-8.63,-4.51
3.283,1.69,-10.75,-4.82
3.35,-6.08,-14.75,1.41
3.417,6.2,-10.47,-7.77
3.484,1.37,-10.32,-5.02
3.551,-2.35,-5.33,-7.1
3.618,1.61,-7.81,-3.65
3.685,1.06,-9.18,-1.49
3.752,2.51,-7.34,-4.71
3.819,-0.9,-6.83,-4.86
3.886,0.2,-9.65,-4.35
3.953,3.26,-11.49,-5.96
4.02,1.61,-11.22,-6.9
4.087,6.47,-8.08,-5.33
4.154,1.06,-9.96,-3.22
4.221,0.75,-7.88,-4.04
4.288,1.14,-6.32,-3.84
4.355,1.65,-7.37,-4.28
4.422,2.2,-7.77,-3.65
4.489,2.71,-9.45,-4.24
4.556,4.04,-11.81,-5.26
4.623,3.06,-9.92,-9.02
4.691,1.57,-10.47,-2.59
4.758,-3.49,-9.53,-5.41
4.825,2.82,-11.02,-4.79
4.892,4.94,-8.2,-4.2
4.959,1.88,-7.34,-3.45
5.026,0.27,-7.02,-4.79
5.093,1.73,-8.47,-5.77
5.16,2.94,-10.28,-6.83
5.227,3.18,-12.08,-8.63
5.294,2.39,-7.96,-5.65
5.361,1.84,-9.06,-4.39
5.428,0.59,-8.94,-2.94
5.495,0.63,-6.55,-3.96
5.562,1.8,-7.96,-3.61
5.629,0.16,-7.26,-4.12
5.696,4.63,-9.38,-3.65
5.763,3.53,-10.75,-5.26
5.83,4.63,-12.51,-8.51
5.897,-5.26,-13.18,0.86
5.964,5.92,-5.69,-13.06
6.031,-1.41,-6.47,-6.94
6.098,0.59,-8.83,-2.71
6.165,2.47,-8.47,-3.65
6.232,1.61,-7.69,-5.41
6.299,1.69,-9.41,-4.55
6.366,2.43,-11.14,-5.22
6.433,3.88,-11.61,-8.67
6.5,2.43,-9.49,-5.33
6.567,-1.14,-9.96,-4.59
6.634,-5.18,-6.83,-4.51
6.701,1.26,-6.51,-4.43
6.768,1.53,-7.65,-2.59
6.835,0.24,-6.83,-3.92
6.902,2.28,-10.16,-1.96
6.969,5.3,-11.06,-5.61
7.036,2.12,-13.22,-6.16
7.103,-2.79,-9.53,-1.1
7.17,1.84,-6.71,-9.38
7.237,-1.57,-6.16,-7.06
7.304,-0.82,-7.49,-3.84
7.371,1.14,-8.16,-3.61
7.438,0.94,-8.16,-5.14
7.505,2.75,-9.92,-5.06
7.572,2.31,-11.69,-4.63
7.639,3.33,-12.83,-7.49
7.706,0.08,-11.26,-2.67
7.773,-2.82,-6.67,-6.98
7.84,-1.77,-6.51,-4.59
7.907,1.53,-6.59,-2.59
7.974,2.28,-7.3,-2.71
8.041,0.47,-6.75,-2.86
8.108,2.43,-11.41,-0.27
8.175,8.63,-11.53,-7.49
8.242,0.94,-11.06,-6.71
8.309,-2.51,-10.04,-1.02
8.376,1.8,-4.94,-9.69
8.443,0.08,-7.18,-6.39
8.51,-0.67,-6.67,-2.67
8.577,1.65,-8.28,-3.96
8.644,2.67,-8.36,-5.22
8.711,2.71,-10.67,-4.71
8.778,1.92,-11.45,-4.08
8.845,1.84,-12.94,-7.53
8.912,1.49,-10.63,-2.9
8.979,-4.79,-10.08,-4.9
9.046,0.12,-5.37,-6.94
9.113,0.63,-7.37,-1.73
9.18,3.02,-7.18,-4.47
9.247,-0.08,-7.34,-2.94
9.314,1.49,-11.3,-2.43
9.381,10.36,-11.89,-8.71
9.448,0.47,-12.47,-4.2
9.515,-5.14,-8.2,-1.61
9.582,0.51,-6,-9.89
9.649,1.33,-8.16,-6.2
9.716,-0.55,-7.45,-2.86
9.783,2.12,-8.55,-4.47
9.85,2.35,-8.9,-3.96
9.917,2.08,-8.67,-5.61
9.984,2.12,-9.61,-6.04
10.051,0.2,-15.14,-4.75
10.118,3.88,-8.67,-4.47
10.185,-4.31,-10.47,-4.86
10.252,-0.43,-6.04,-6.75
10.319,2.71,-7.96,-1.92
10.386,0.35,-6.59,-3.18
10.453,1.1,-6.83,-4.04
10.52,1.1,-10.98,-2
10.587,8.08,-11.41,-7.65
10.654,3.73,-13.02,-8.24
10.721,-1.14,-7.85,-3.06
10.788,-0.63,-3.1,-10.67
10.855,-3.53,-9.38,-4.16
10.922,2,-8.12,-4.31
10.989,1.96,-7.96,-4.08
11.056,-0.08,-7.69,-4.9
11.123,2.2,-8.98,-5.33
11.19,1.96,-11.65,-4.86
11.257,1.1,-13.89,-7.26
11.324,2.82,-10.79,-2.98
11.391,-3.77,-10.63,-6.86
11.458,1.06,-6.16,-6.2
11.525,1.49,-8.08,-0.71
11.592,1.96,-5.45,-4.94
11.659,1.33,-7.53,-2.9
11.726,1.49,-11.73,-1.29
11.793,8.51,-11.34,-6.71
11.86,5.61,-10.55,-9.45
11.927,-5.81,-9.69,0.24
11.994,-4.75,-3.77,-8.98
12.061,0.04,-8,-6.2
12.128,-0.43,-7.81,-2.67
12.195,3.26,-8.47,-4.31
12.262,1.69,-8.43,-4.47
12.329,2.39,-8.32,-6.43
12.396,2.75,-9.14,-6.28
12.463,2,-15.38,-7.18
12.53,3.1,-12.28,-3.26
12.597,0.12,-8.94,-6.35
12.664,-2.82,-6.86,-4.55
12.731,1.49,-5.57,-5.14
12.798,1.73,-6.98,-4.24
12.865,0.27,-6.94,-3.3
12.932,0.31,-11.81,-1.37
12.999,8.67,-12.75,-9.65
13.066,1.69,-10.47,-7.73
13.133,-1.65,-5.96,-4.28
13.2,-2.12,-3.45,-9.34
13.267,-1.22,-6.98,-6.47
13.334,0.08,-6.98,-3.73
13.401,2.9,-9.06,-5.3
13.468,1.22,-7.81,-4.94
13.535,2.98,-8.9,-5.53
13.602,3.53,-9.3,-8.12
13.669,1.88,-12.91,-7.77
13.736,3.33,-8.9,-4.86
13.803,0.24,-7.02,-6.55
13.87,-5.02,-8.24,-4.2
13.937,3.1,-6.24,-5.1
14.004,2.08,-8.04,-3.57
14.071,1.18,-6.86,-4.63
14.138,1.92,-9.49,-3.22
14.205,4.98,-9.89,-7.22
14.272,3.84,-12.32,-6.98
14.339,-0.82,-13.22,-3.73
14.406,3.45,-7.53,-10.36
14.473,2.59,-5.81,-9.89
14.54,-2.94,-8.59,-2.31
14.607,3.18,-7.37,-5.77
14.674,1.65,-8.47,-4.08
14.741,3.92,-8.24,-4.75
14.808,4.31,-9.06,-7.06
14.875,1.77,-8.43,-8.75
14.942,2.08,-11.45,-3.84
15.009,1.29,-9.3,-3.33
15.076,-4.47,-8.98,-4.71
15.143,0.59,-4.04,-5.84
15.21,2.2,-7.88,-2.12
15.277,1.61,-6.63,-4.2
15.344,3.88,-7.06,-4.82
15.411,3.57,-7.49,-2.67
15.478,9.49,-19.18,-14.67
15.545,-4.04,-1.57,-1.88
15.612,-4.28,-2.82,-9.38
15.679,-8.47,-5.06,-2.86
15.746,-3.61,-7.26,-4.39
15.813,0.51,-9.06,-4.24
15.88,-1.65,-8.39,-4.59
15.947,1.29,-12.51,-4.82
16.014,-0.67,-12,-3.14
16.081,-2.12,-9.45,-6.12
16.148,-0.59,-11.92,-3.69
16.215,-4.16,-9.53,-2.39
16.282,-3.37,-10.32,-1.14
16.349,-0.94,-8.47,-2.28
16.416,0.59,-8.32,-1.26
16.483,-1.53,-7.92,0
16.55,0.47,-9.89,-0.39
16.617,3.26,-11.89,-2.47
16.684,-0.2,-11.96,1.14
16.751,0.16,-11.41,-4.24
16.818,-3.69,-8.36,-3.61
16.885,-2.28,-9.61,-1.57
16.952,1.65,-8.87,-2.55
17.019,0.12,-8.87,-1.37
17.086,-0.27,-9.49,-1.22
17.153,0.35,-10.32,-2.31
17.22,-1.53,-11.06,-1.73
17.287,0.51,-12.51,-2.98
17.354,0.86,-12.55,-0.9
17.421,-2.35,-10.08,-0.2
17.488,-2,-8.43,-1.29
17.555,-1.41,-8.75,0.86
17.622,0.12,-7.45,-2.51
17.689,0.16,-10.63,0.47
17.756,-2.79,-8.87,1.57
17.823,5.53,-13.61,-2.08
17.89,3.77,-13.22,-4.51
17.957,-7.96,-7.53,0.63
18.024,-0.2,-8.2,-6.39
18.091,-3.41,-9.45,0.04
18.158,0.04,-9.06,-1.8
18.225,-0.59,-8.55,-1.69
18.292,0.55,-10.32,-1.65
18.359,0.43,-9.96,-1.96
18.426,-1.53,-11.06,-1.69
18.493,2.35,-12.83,-4.59
18.56,-0.31,-13.45,0.98
18.627,-1.45,-9.69,-3.33
18.694,-2.24,-7.88,-2.39
18.761,-2.75,-7.73,0.47
18.828,0.63,-8.32,-2.2
18.895,-0.24,-8.87,-0.94
18.962,-0.43,-10.98,0.67
19.029,4.47,-13.22,-3.26
19.096,-2.75,-11.77,-1.41
19.163,-6.04,-7.34,-0.51
19.23,1.77,-9.34,-7.69
19.297,-4.71,-9.69,-0.59
19.364,1.37,-8.83,-3.1
19.431,-1.49,-8.55,-1.37
19.498,1.1,-11.06,-2.04
19.565,-0.75,-10.24,-1.84
19.632,0.27,-12.04,-2.75
19.699,1.14,-13.02,-5.06
19.766,0,-12.94,-1.02
19.833,-5.88,-8.9,-1.73
19.9,0.55,-8.47,-4.79
19.967,-3.65,-7.61,1.18
20.034,1.1,-8.2,-2.08
20.101,-0.9,-8,-1.49
20.168,-0.78,-10.75,1.73
20.235,6.86,-13.93,-4.75
20.302,-0.12,-12.32,-5.14
20.369,-8.39,-7.65,1.77
20.436,1.92,-7.45,-9.18
20.503,-4.79,-9.34,-0.39
20.57,-0.31,-8.59,-1.57
20.637,-1.84,-8.08,-2.04
20.704,0.55,-10.12,-2.67
20.771,-0.43,-11.34,-2.16
20.838,-1.41,-10.71,-2.79
20.905,-0.67,-14.59,-2.39
20.972,1.26,-11.49,-1.77
21.039,-9.45,-7.85,-1.18
21.106,4.82,-10.63,-4.16
21.173,-4.79,-6.79,2.08
21.24,0.35,-6.79,-4.2
21.307,0.35,-10,-0.51
21.374,-0.24,-10.71,-1.06
21.441,0.98,-14.79,-1.37
21.508,-2.08,-11.41,-3.33
21.575,-6.39,-7.37,-3.8
21.642,-3.57,-7.53,-4.94
21.709,1.29,-9.73,-2.86
21.776,-0.47,-8.32,-2.86
21.843,-0.82,-8.75,-2.67
21.91,-0.63,-10.12,-2.67
21.977,0.75,-11.06,-3.41
22.044,-1.8,-11.38,-4.08
22.111,-0.55,-12.51,-3.06
22.178,-2.94,-9.22,-4.63
22.245,-7.45,-7.1,-2.55
22.312,3.57,-10.24,-3.61
22.379,-2.55,-6.24,-0.78
22.446,-1.65,-6.59,-3.49
22.513,0.55,-11.14,-0.67
22.58,0.75,-12,-3.1
22.647,-0.78,-14.71,-2.94
22.714,0.12,-12.59,-3.41
22.781,-4.51,-4.98,-7.77
22.848,-5.02,-7.88,-3.22
22.915,-1.65,-8.59,-2.2
22.982,2.39,-10.98,-2.51
23.049,-2.39,-8.79,-3.1
23.116,-0.78,-10.2,-2.63
23.183,-0.59,-11.02,-4.98
23.25,0.27,-14.71,-4.43
23.317,-5.37,-8.16,-2.43
23.384,-4.2,-9.3,-2.86
23.451,-3.53,-7.73,-3.37
23.518,-3.61,-8.08,1.1
23.585,1.33,-7.65,-3.77
23.652,0.98,-8.87,-1.96
23.719,-1.77,-9.73,2.55
23.786,5.81,-12.91,-4.31
23.853,-1.49,-15.65,-1.02
23.92,-2.08,-9.45,-3.18
23.987,-0.31,-7.02,-7.49
24.054,-3.77,-8.32,-1.77
24.121,-1.92,-8.04,-0.63
24.188,0.86,-9.81,-3.1
24.255,1.1,-9.81,-2.98
24.322,-2.67,-9.49,-0.86
24.389,0.47,-11.89,-3.65
24.456,-0.35,-14.71,-3.77
24.523,0.71,-12.28,0.16
24.59,-4.12,-9.14,-3.45
24.657,-3.06,-7.53,-3.33
24.724,-3.26,-8.67,1.26
24.791,3.69,-8.79,-4.2
24.858,-1.41,-8.04,-0.47
24.925,-2.59,-10.12,1.53
24.992,7.1,-13.38,-6.2
25.059,-0.71,-12.55,-4.43
25.126,-10.79,-8.08,2.82
25.193,3.33,-8.83,-12.83
25.26,-5.45,-9.26,0.2
25.327,0.43,-8.83,-1.65
25.394,0.35,-8.51,-3.57
25.461,-2.12,-8.43,-2.35
25.528,-0.75,-10.04,-2.94
25.595,-0.12,-10.08,-4.51
25.662,-1.33,-13.18,-3.26
25.729,3.14,-11.96,-1.49
25.796,-8,-8.36,-1.53
25.863,5.49,-9.96,-5.77
25.93,-0.98,-8.47,-0.63
25.997,-0.24,-6.83,-4.04
26.064,0.12,-10.4,-0.16
26.131,2.24,-9.92,-6.35
26.198,1.29,-15.42,-3.06
26.265,-4.71,-11.57,-1.02
26.332,-1.33,-5.18,-9.61
26.399,-6.98,-8.16,-1.61
26.466,0.67,-9.1,-2.39
26.533,-0.55,-8.28,-2.94
26.6,-0.51,-9.3,-3.18
26.667,0.47,-9.65,-4.16
26.734,-1.18,-10.28,-4.24
26.801,-1.18,-17.22,-4.31
26.868,-2,-10.87,-0.94
26.935,-3.3,-9.26,-4.71
27.002,-2.43,-7.65,-2.47
27.069,-1.41,-8.04,-0.31
27.136,-2.28,-6.9,-2.75
27.203,0.51,-9.81,-2
27.27,-0.71,-10.24,-2.16
27.337,1.02,-12.79,-1.26
27.404,3.73,-15.26,-9.1
27.471,-9.96,-6.43,-0.63
27.538,-1.96,-5.92,-9.73
27.605,-3.73,-9.96,-0.55
27.672,-2.04,-6.79,-3.61
27.739,-1.49,-8.36,-2.9
27.806,-1.1,-9.92,-2.35
27.873,-1.53,-10.04,-3.06
27.94,0.08,-11.53,-4.79
28.007,-3.41,-13.57,-3.26
28.074,-0.12,-11.61,-1.33
28.141,-8.04,-8.36,-1.65
28.208,-2.35,-9.1,-0.67
28.275,2.12,-7.73,-2.86
28.342,-0.35,-6.63,-2.86
28.409,-1.29,-8.94,0
28.476,-0.59,-11.61,-1.02
28.543,0.31,-14.91,0.43
28.61,-0.47,-10.51,-3.84
28.677,-3.41,-6.28,-4.75
28.744,-2.67,-9.22,-2.75
28.811,-2.67,-7.02,-2.28
28.878,0.12,-8.75,-1.92
28.945,-2.51,-8.32,-1.41
29.012,0.67,-11.49,-1.73
29.079,0.12,-11.3,-2.82
29.146,-2.59,-10.12,-3.1
29.213,1.18,-14.12,-2.71
29.28,-6.04,-10.28,0.04
29.347,-1.69,-8.59,-3.49
29.414,-1.69,-8.04,0.78
29.481,-1.06,-7.1,-3.65
29.548,-0.86,-7.85,-1.57
29.615,-0.82,-8.9,0.39
29.682,0.9,-11.49,-2.12
29.749,-1.14,-14.75,-3.22
29.816,-9.65,-6.75,-0.04
29.883,-0.24,-6.55,-9.22
29.95,-6,-9.3,-0.35
30.017,-1.57,-8.71,-1.49
30.084,2.04,-10.16,-2.43
30.151,-1.77,-8.39,-2.59
30.218,-1.37,-10.43,-2.39
30.285,1.69,-12.63,-3.3
30.352,-1.8,-13.73,-2.82
30.419,2.16,-12.59,-2.94
30.486,-5.22,-8.75,-2.08
30.553,-0.98,-7.65,-3.14
30.62,-1.06,-8.08,0.31
30.687,-1.84,-6.55,-1.88
30.754,0.31,-9.53,-0.82
30.821,-0.55,-9.45,0.82
30.888,5.84,-14.36,-2.82
30.955,4.43,-11.49,-7.92
31.022,-7.06,-7.22,-0.98
31.089,1.41,-9.34,-8.12
31.156,-5.06,-8.94,-0.75
31.223,-1.96,-7.69,-1.49
31.29,1.69,-9.57,-3.73
31.357,-2.35,-9.85,0.71
31.424,0.63,-10.94,-1.84
31.491,-0.55,-11.26,-3.3
31.558,-1.22,-15.65,-2.59
31.625,2.98,-11.96,-0.16
31.692,-9.22,-7.49,-2.94
31.759,1.22,-8.94,-3.18
31.826,-2.12,-8.63,1.73
31.893,-1.29,-6.86,-2.9
31.96,-0.08,-9.81,-0.12
32.027,-0.08,-10.55,-1.41
32.094,3.92,-15.14,-1.06
32.161,2.79,-16.95,-5.41
32.228,-6.79,-8.43,-0.98
32.295,-1.88,-6.32,-10.4
32.362,-3.33,-10.24,0.78
32.429,-1.1,-7.49,-1.92
32.496,0.43,-8.63,-3.3
32.563,-0.86,-10.12,-1.26
32.63,-1.45,-10,-2.75
32.697,0.04,-11.49,-3.41
32.764,-1.61,-15.18,-2.12
32.831,0.31,-12.55,-0.08
32.898,-7.41,-9.22,-3.57
32.965,2.08,-10.87,-3.37
33.032,-3.02,-7.88,0.9
33.099,-0.55,-6.04,-3.65
33.166,-1.26,-8.98,0.35
33.233,-1.06,-12.91,0.08
33.3,6.43,-15.34,-2.71
33.367,4.04,-18.24,-6
33.434,-10.59,-5.73,-0.71
33.501,-0.86,-8.71,-6.43
33.568,-1.33,-9.53,-2.39
33.635,0.43,-9.14,-2.39
33.702,-1.8,-7.61,-2
33.769,0.43,-10.75,-2.04
33.836,-0.63,-10.79,-3.73
33.903,-0.12,-10.4,-4.43
33.97,-3.26,-12.75,-4.31
34.037,-1.41,-11.96,-1.02
34.104,-8.16,-7.14,-1.8
34.171,-0.2,-9.22,-0.08
34.238,1.14,-7.69,-3.06
34.305,-0.94,-7.65,-2.08
34.372,-1.1,-9.49,-0.16
34.439,-1.26,-11.85,-2.16
34.506,2.51,-14.28,0.04
34.573,3.53,-14.87,-6.55
34.64,-9.1,-6.28,-3.73
34.707,-5.96,-8.47,-3.65
34.774,2.59,-10.83,-2.79
34.841,-2.75,-7.02,-1.69
34.908,-2.79,-8.12,-1.45
34.975,0.71,-11.49,-2.08
35.042,-0.12,-10.87,-3.18
35.109,-1.84,-9.14,-4.08
35.176,-3.18,-11.89,-1.61
35.243,1.06,-11.38,-1.06
35.31,-11.3,-6.71,-1.02
35.377,5.1,-11.77,-2.35
35.444,-0.24,-8.9,-1.45
35.511,-1.26,-8.2,-2.2
35.578,-2.08,-8.63,-0.16
35.645,-0.9,-11.34,-1.1
35.712,4.08,-14.91,-2.12
35.779,2.55,-17.77,-4.75
35.846,-9.49,-5.45,-2.12
35.913,-3.02,-8.28,-6.16
35.98,-4.12,-9.3,-0.78
36.047,-0.75,-8.2,-2.51
36.114,-1.02,-8.71,-1.41
36.181,1.14,-9.34,-3.57
36.248,-1.33,-10.28,-3.3
36.315,-5.06,-9.3,-2.28
36.382,-2.04,-13.73,-2.67
36.449,1.06,-12.51,0.47
36.516,-9.38,-8.63,-3.8
36.583,1.14,-9.92,-3.49
36.65,-0.82,-8.59,-0.78
36.717,0.04,-7.88,-3.33
36.784,-1.77,-8.59,-1.22
36.851,-4.59,-10,1.18
36.918,6.2,-13.22,-5.69
36.985,-0.67,-8.36,-3.61
37.052,-5.57,-9.61,0.43
37.119,-2.08,-4.12,-9.69
37.186,-10.79,-8.98,1.61
37.253,2.43,-9.73,-3.69
37.32,-1.88,-7.69,-3.14
37.387,-2.75,-9.26,-2.16
37.454,-1.92,-9.69,-2.82
37.521,-4.31,-10.43,-1.26
37.588,1.37,-13.02,-7.18
37.655,-1.84,-11.02,0.43
37.722,-9.1,-10.08,-2.86
37.789,-6.39,-5.92,-4.98
37.856,2.39,-12.59,-0.71
37.923,-1.26,-5.02,-3.57
37.99,-2.28,-7.69,-1.41
38.057,-2.08,-8.94,-0.78
38.124,1.96,-11.49,-5.69
38.191,-2.35,-8.43,-2.39
38.258,-4.31,-11.38,-0.86
38.325,-3.88,-3.3,-9.41
38.392,-9.92,-9.96,0.82
38.459,3.49,-9.45,-5.88
38.526,-0.12,-9.14,-1.41
38.593,-2.63,-7.96,-1.73
38.66,-1.1,-9.53,-2.63
38.727,-2.2,-11.61,-3.26
38.794,1.22,-11.3,-6.04
38.861,-2.24,-17.57,0.55
38.928,-8,-13.53,-1.26
38.995,-4.79,-7.49,-2.94
39.062,-1.69,-9.61,0.71
39.129,1.77,-8.24,-2.9
39.196,-1.61,-6.79,-2.08
39.263,-2.71,-8.36,-0.12
39.33,5.06,-14.16,-4.2
39.397,-2.86,-15.06,-0.04
