NAME:,walk3.csv,,
EXPERIMENT TIME:,03/06/2023 14:37,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,94,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,-4.746419,-1.686744,-5.491724
0.071,-4.667965,-1.569064,-5.88399
0.142,-4.667965,-1.490611,-5.962444
0.213,-4.707192,-1.765197,-5.334818
0.284,-4.667965,-1.569064,-5.687858
0.355,-4.550286,-1.725971,-5.570178
0.426,-4.707192,-1.451384,-6.080123
0.497,-3.961887,-2.157463,-5.609404
0.568,-3.687301,-1.098345,-6.629296
0.639,-4.236473,-0.823759,-6.158576
0.71,-3.373488,-1.765197,-5.76631
0.781,-2.706636,-1.804424,-6.315483
0.852,-1.804424,-1.765197,-5.648631
0.923,-2.235916,-1.255251,-5.060232
0.994,-2.863542,-0.823759,-5.138685
1.065,-2.432049,0.078453,-7.84532
1.136,-0.666852,-2.235916,-9.924331
1.207,-1.412158,-2.667409,-6.982335
1.278,-3.726527,-3.765754,-4.903325
1.349,-1.84365,-2.785089,-6.197803
1.42,-3.961887,-2.706636,-5.060232
1.491,-4.589512,-2.039783,-3.020448
1.562,-3.020448,-1.372931,-5.099459
1.633,-3.92266,-0.23536,-3.726527
1.704,-5.256365,0.039227,-6.00167
1.775,-5.923217,2.745862,-9.139798
1.846,-5.727084,-1.176798,-9.80665
1.917,-4.432606,-6.590069,-0.470719
1.988,-7.766868,-4.118793,-7.609961
2.059,-3.295035,-3.216581,-2.353596
2.13,-3.80498,-1.255251,-1.804424
2.201,-2.19669,-0.941438,-2.07901
2.272,-3.020448,-0.392266,-4.236473
2.343,-3.020448,-1.529837,-10.198917
2.414,-2.706636,-6.943109,-9.963557
2.485,-3.961887,-4.903325,-5.177911
2.556,-8.276814,-3.295035,-7.296148
2.627,-1.490611,-3.177355,-6.746975
2.698,-3.451941,-1.216025,-2.471276
2.769,-3.334261,-1.490611,-2.471276
2.84,-3.216581,-0.078453,-2.824315
2.911,-2.31437,-0.902212,-6.00167
2.982,-6.590069,3.569621,-11.807208
3.053,-8.472946,-0.784532,-12.317153
3.124,-2.039783,-9.885103,-0.039227
3.195,-10.865768,-1.176798,-8.119907
3.266,-1.804424,-3.530394,-2.745862
3.337,-4.001113,-2.667409,-1.84365
3.408,-2.19669,-0.549172,-2.824315
3.479,-2.118237,-0.078453,-3.961887
3.55,-1.96133,-2.000557,-11.767981
3.621,-3.295035,-2.902768,-9.453611
3.692,-8.66908,-9.139798,-1.333704
3.763,-6.040897,-0.941438,-9.375158
3.834,-1.647517,-1.333704,-6.550843
3.905,-3.844207,-1.372931,-1.490611
3.976,-3.373488,-0.11768,-4.197247
4.047,-3.059675,1.137571,-4.15802
4.118,-4.15802,-0.745305,-4.864099
4.189,-3.80498,-0.039227,-9.963557
4.26,-12.160246,-2.07901,-5.805537
4.331,-3.844207,-5.138685,-5.687858
4.402,-6.433163,-3.883434,-7.453054
4.473,-1.84365,-3.295035,-3.648074
4.544,-3.491168,-1.490611,-1.84365
4.615,-2.549729,-0.431493,-1.412158
4.686,-2.628182,-0.353039,-5.844764
4.757,-1.686744,1.098345,-13.180139
4.828,-1.098345,-4.589512,-9.414385
4.899,-3.80498,-6.040897,-6.11935
4.97,-7.688414,-2.471276,-6.433163
5.041,-1.294478,-3.138128,-6.00167
5.112,-4.511059,-1.294478,-2.235916
5.183,-2.706636,-0.627626,-3.098902
5.254,-1.686744,0.509946,-3.059675
5.325,-5.570178,-0.509946,-8.355267
5.396,-4.079566,1.96133,-8.708306
5.467,-9.492838,-0.784532,-12.827099
5.538,-3.569621,-5.060232,-2.471276
5.609,-9.257479,-2.667409,-8.119907
5.68,-2.941995,-3.177355,-1.098345
5.751,-3.80498,-2.039783,-1.098345
5.822,-1.922104,0,-3.020448
5.893,-2.902768,0,-5.962444
5.964,0.823759,1.333704,-13.807764
6.035,-2.549729,-3.648074,-14.709976
6.106,-8.002227,-7.492281,0.274586
6.177,-5.374045,-4.432606,-9.80665
6.248,-2.588956,-3.059675,-4.314926
6.319,-3.334261,-1.059118,-2.824315
6.39,-3.765754,0,-3.295035
6.461,-3.177355,1.922104,-4.824872
6.532,-3.608848,-0.274586,-8.002227
6.603,-7.021562,-3.295035,-6.276257
6.674,-4.628739,-4.118793,-7.374601
6.745,-1.294478,-5.76631,-8.394493
6.816,-7.100015,-1.647517,-4.628739
6.887,-2.118237,-0.078453,-0.11768
6.958,-2.628182,-0.941438,-3.177355
7.029,-1.647517,-0.078453,-5.060232
7.1,-4.589512,-1.333704,-9.845878
7.171,-1.490611,-7.609961,-11.414941
7.242,-6.864655,-5.76631,-3.844207
7.313,-6.707749,-1.019892,-8.629852
7.384,-0.941438,-1.372931,-6.433163
7.455,-4.001113,-0.353039,-1.333704
7.526,-3.530394,-0.156906,-4.079566
7.597,-3.530394,0.078453,-3.92266
7.668,-3.530394,-0.745305,-7.021562
7.739,-6.786202,-2.000557,-8.355267
7.81,-4.393379,-4.785645,-8.865212
7.881,-2.000557,-5.88399,-5.76631
7.952,-5.334818,-2.118237,-7.100015
8.023,-3.491168,0,-1.255251
8.094,-2.745862,-1.019892,-2.353596
8.165,-2.667409,0.431493,-3.020448
8.236,-4.667965,-0.980665,-6.786202
8.307,-0.509946,1.529837,-13.062458
