NAME:,wqlk5.csv,,
EXPERIMENT TIME:,03/06/2023 14:42,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,124,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,-4.314926,-1.647517,-5.923217
0.071,-4.511059,-1.804424,-5.727084
0.142,-4.197247,-1.84365,-5.805537
0.213,-3.961887,-2.118237,-6.315483
0.284,-4.2757,-1.96133,-5.805537
0.355,-3.530394,-2.31437,-5.530951
0.426,-3.138128,-1.647517,-5.88399
0.497,-3.765754,-1.765197,-6.472389
0.568,-2.863542,-1.765197,-6.040897
0.639,-3.334261,-0.980665,-5.805537
0.71,-3.334261,-1.019892,-5.805537
0.781,-3.216581,-0.549172,-5.609404
0.852,-2.275143,-0.745305,-5.609404
0.923,-2.275143,-0.549172,-6.825429
0.994,-1.84365,-0.980665,-8.66908
1.065,-0.274586,-3.608848,-10.51273
1.136,-4.589512,-2.667409,-3.608848
1.207,-3.883434,-3.569621,-4.667965
1.278,-2.981222,-3.255808,-6.315483
1.349,-4.15802,-1.922104,-5.530951
1.42,-4.197247,-1.098345,-4.903325
1.491,-3.648074,-0.549172,-5.295591
1.562,-3.530394,0,-4.511059
1.633,-4.746419,-0.627626,-6.982335
1.704,-4.550286,1.372931,-9.061345
1.775,-8.08068,-2.706636,-8.119907
1.846,-3.216581,-6.354709,-5.138685
1.917,-2.863542,-1.333704,-7.139242
1.988,-4.511059,-1.922104,-5.256365
2.059,-2.07901,-1.569064,-5.570178
2.13,-2.392823,-1.569064,-2.19669
2.201,-1.96133,-0.745305,-4.314926
2.272,-3.569621,-0.509946,-7.609961
2.343,-1.294478,0,-9.610518
2.414,-3.334261,-1.412158,-13.886217
2.485,-3.80498,-2.549729,-3.216581
2.556,-2.628182,-4.628739,-7.884547
2.627,-2.471276,-3.373488,-4.785645
2.698,-5.256365,-1.686744,-4.2757
2.769,-3.765754,-1.059118,-3.451941
2.84,-2.667409,-1.059118,-3.687301
2.911,-3.412714,0.980665,-5.334818
2.982,-6.276257,0.666852,-9.453611
3.053,-8.31604,-1.804424,-8.825986
3.124,-4.942552,-3.883434,-8.159133
3.195,-1.137571,-2.863542,-6.433163
3.266,-6.276257,-1.725971,-5.060232
3.337,-3.098902,-2.510503,-4.393379
3.408,-2.275143,-1.216025,-2.157463
3.479,-2.31437,0.274586,-4.314926
3.55,-3.765754,-0.078453,-4.981779
3.621,-0.039227,1.765197,-14.160804
3.692,-2.432049,-5.805537,-10.904996
3.763,-6.590069,-7.100015,-1.686744
3.834,-6.080123,-1.451384,-9.061345
3.905,-2.118237,-3.177355,-5.295591
3.976,-3.412714,-1.451384,-2.902768
4.047,-3.451941,-1.412158,-3.687301
4.118,-3.334261,0.353039,-3.80498
4.189,-3.059675,-0.588399,-7.178468
4.26,-7.021562,4.079566,-10.983448
4.331,-6.276257,-0.862985,-10.551956
4.402,-2.628182,-11.767981,0.784532
4.473,-7.256921,-0.470719,-11.807208
4.544,-3.255808,-2.706636,-3.608848
4.615,-3.373488,-0.627626,-2.549729
4.686,-1.96133,-1.137571,-3.020448
4.757,-2.19669,0.666852,-5.021005
4.828,-4.981779,-2.275143,-8.119907
4.899,-2.353596,0.862985,-10.944222
4.97,-0.313813,-4.001113,-9.767424
5.041,-6.433163,-3.451941,-3.020448
5.112,-0.902212,-4.824872,-7.688414
5.183,-2.824315,-2.118237,-2.157463
5.254,-4.079566,-1.451384,-3.255808
5.325,-3.412714,-0.431493,-4.2757
5.396,-3.059675,0.196133,-5.805537
5.467,-7.178468,2.432049,-10.865768
5.538,-6.903882,-3.726527,-8.512173
5.609,-2.706636,-7.609961,-5.609404
5.68,-5.060232,-1.451384,-8.198359
5.751,-4.432606,-2.039783,-5.060232
5.822,-2.157463,-0.078453,-3.216581
5.893,-2.19669,-0.862985,-3.059675
5.964,-2.785089,0.353039,-4.15802
6.035,-4.864099,-2.628182,-6.197803
6.106,-2.19669,-0.627626,-10.74809
6.177,-0.353039,-3.608848,-10.51273
6.248,-7.335374,-4.079566,-1.098345
6.319,-0.902212,-4.354153,-8.66908
6.39,-2.785089,-2.628182,-2.353596
6.461,-3.726527,-1.333704,-2.902768
6.532,-3.608848,-0.313813,-4.2757
6.603,-3.373488,0.784532,-6.354709
6.674,-7.413828,1.059118,-8.198359
6.745,-8.43372,-5.88399,-7.060789
6.816,-4.079566,-6.786202,-6.11935
6.887,-4.471833,-3.961887,-7.492281
6.958,-4.001113,-2.628182,-6.23703
7.029,-2.510503,-0.745305,-3.216581
7.1,-2.941995,-0.823759,-2.667409
7.171,-2.863542,0.156906,-3.412714
7.242,-4.746419,-1.608291,-6.23703
7.313,0.23536,1.137571,-12.670193
7.384,-0.902212,-2.941995,-14.239256
7.455,-6.354709,-7.84532,0.862985
7.526,-0.353039,-5.452498,-9.414385
7.597,-4.079566,-2.392823,-1.725971
7.668,-3.80498,-1.294478,-3.412714
7.739,-3.765754,-0.11768,-4.197247
7.81,-2.588956,1.216025,-4.785645
7.881,-4.981779,-0.549172,-6.825429
7.952,-9.022119,-6.393936,-6.629296
8.023,-4.001113,-4.903325,-8.708306
8.094,-1.529837,-4.15802,-5.491724
8.165,-6.590069,-0.706079,-6.668522
8.236,-2.706636,-0.353039,-3.491168
8.307,-2.471276,-1.451384,-2.863542
8.378,-2.31437,-0.039227,-3.726527
8.449,-4.432606,0.627626,-6.11935
8.52,2.118237,0.823759,-13.062458
8.591,-4.550286,-5.88399,-14.20003
8.662,-6.943109,-5.177911,-1.882877
8.733,-3.177355,-4.785645,-9.139798
8.804,-2.549729,-2.000557,-2.432049
8.875,-4.707192,-0.666852,-3.138128
8.946,-3.216581,0.980665,-4.314926
9.017,-3.530394,0.156906,-5.256365
