"NAME:","run_5_1.csv"
"EXPERIMENT TIME:","05/06/2023 18:57"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","124"

"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0","-2.94","9.85","-2.67"
"0.10107422","-2.51","12.2","-4.71"
"0.2019043","-1.26","12.36","-4.28"
"0.30297852","0.2","10.08","-7.18"
"0.40405273","-3.26","18.48","-11.53"
"0.50512695","-1.77","1.22","0.47"
"0.60595703","5.88","-3.61","-5.61"
"0.70703125","-0.24","20.01","-8.28"
"0.80810547","-8.12","19.42","-5.26"
"0.90893555","-3.02","7.14","-3.3"
"1.0100098","2.43","0.31","-0.75"
"1.111084","-0.16","20.01","-2.39"
"1.2119141","-9.41","20.01","-9.96"
"1.3129883","-0.24","-0.39","2.63"
"1.4140625","8.55","-2.28","-4.51"
"1.5148926","-10.87","20.01","-3.14"
"1.6159668","-6.71","15.69","-2.59"
"1.717041","0.0","1.18","-1.14"
"1.8181152","0.55","1.02","-1.26"
"1.9189453","-5.73","20.01","-8.75"
"2.0200195","-9.18","14.04","-8.32"
"2.1210938","1.69","1.61","2.98"
"2.2219238","-1.02","6.51","-6.24"
"2.322998","-13.45","17.26","-6.2"
"2.4240723","-6.16","13.02","-6.59"
"2.5249023","0.51","0.12","-7.81"
"2.6259766","1.29","4.43","-0.67"
"2.7270508","-2.2","20.01","-17.5"
"2.828125","-2.98","2.16","-5.57"
"2.928955","0.39","-2.04","0.75"
"3.0300293","0.94","10.36","-4.9"
"3.1311035","-4.63","16.59","-3.73"
"3.2319336","-4.51","10.2","-4.28"
"3.3330078","3.57","0.55","0.47"
"3.434082","2.98","8.98","-1.37"
"3.534912","-8.47","20.01","-8.98"
"3.6359863","-2.67","3.18","1.02"
"3.7370605","9.06","-1.33","4.9"
"3.8378906","-10.0","20.01","5.33"
"3.9389648","-10.94","17.81","-6.43"
"4.040039","-4.51","4.24","-5.06"
"4.1411133","2.75","0.0","-1.14"
"4.2419434","-6.79","20.01","-12.43"
"4.3430176","-9.41","13.57","-8.63"
"4.444092","-0.67","1.92","2.0"
"4.544922","-0.31","9.38","-0.86"
"4.645996","-13.34","15.34","-11.53"
"4.7470703","-7.14","11.26","-4.71"
"4.8479004","0.9","-0.59","-2.08"
"4.9489746","2.98","5.14","1.57"
"5.050049","-4.28","20.01","-12.43"
"5.151123","-5.77","4.82","-4.12"
"5.251953","0.9","-5.33","-4.39"
"5.3530273","9.89","8.16","-11.1"
"5.4541016","-11.41","18.71","-7.53"
"5.5549316","-0.75","7.69","-2.47"
"5.656006","0.67","0.16","-0.63"
"5.75708","1.26","17.97","-3.96"
"5.85791","-9.53","17.3","-11.53"
"5.9589844","-1.88","1.37","1.57"
"6.0600586","8.79","0.98","-6.35"
"6.161133","-10.0","15.34","-10.59"
