"NAME:","walk_3_1.csv"
"EXPERIMENT TIME:","05/06/2023 18:16"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","120"

"Time [sec]","ACC X","ACC Y","ACC Z"
"0.0","-1.61","-8.28","-6.0"
"0.10101318","-0.78","-10.12","-5.57"
"0.20202637","1.69","-10.0","-8.2"
"0.30303955","2.55","-10.87","-3.77"
"0.4039917","-0.86","-7.49","-4.9"
"0.5050049","-1.33","-7.37","-4.16"
"0.60601807","-2.24","-8.55","-3.02"
"0.70703125","-2.63","-12.12","-2.9"
"0.8079834","-1.69","-14.36","-5.49"
"0.9089966","0.39","-6.51","-5.37"
"1.0100098","0.27","-8.98","-5.22"
"1.111023","-0.63","-8.16","-4.31"
"1.2120361","-1.06","-8.79","-4.79"
"1.3129883","-1.49","-8.83","-4.94"
"1.4140015","-0.55","-8.75","-5.45"
"1.5150146","-1.06","-11.18","-6.28"
"1.6160278","0.98","-9.02","-4.55"
"1.717041","1.29","-8.59","-2.94"
"1.8179932","0.0","-10.63","-5.37"
"1.9190063","-1.06","-8.43","-4.43"
"2.0200195","-1.69","-8.75","-3.84"
"2.1210327","-2.24","-9.22","-3.37"
"2.2219849","-2.16","-9.61","-3.41"
"2.322998","-0.2","-11.41","-5.41"
"2.4240112","0.04","-10.75","-5.26"
"2.5250244","-0.24","-6.59","-4.04"
"2.6260376","-0.82","-10.28","-5.37"
"2.7269897","0.0","-7.77","-4.04"
"2.828003","-1.92","-9.57","-4.31"
"2.929016","-0.94","-8.63","-4.82"
"3.0300293","-1.14","-9.41","-4.63"
"3.1310425","-0.27","-11.61","-6.35"
"3.2319946","1.65","-9.18","-5.14"
"3.3330078","1.37","-9.81","-4.63"
"3.434021","0.59","-8.9","-4.67"
"3.5350342","-1.26","-8.32","-3.92"
"3.6359863","-1.45","-8.75","-3.53"
"3.7369995","-1.37","-9.02","-4.28"
"3.8380127","-2.55","-10.0","-3.22"
"3.9390259","0.12","-12.59","-5.37"
"4.040039","0.71","-7.57","-6.12"
"4.140991","1.33","-7.69","-4.75"
"4.2420044","-0.08","-8.47","-4.43"
"4.3430176","-0.82","-8.98","-4.79"
"4.444031","-1.18","-9.26","-4.67"
"4.544983","-0.82","-8.2","-5.33"
"4.645996","-0.71","-10.12","-4.67"
"4.7470093","0.75","-9.49","-5.37"
"4.8480225","1.14","-8.43","-5.33"
"4.9490356","2.0","-10.04","-2.98"
"5.049988","0.9","-8.12","-4.9"
"5.151001","0.16","-8.55","-4.47"
"5.252014","-0.9","-9.34","-3.57"
"5.3530273","-0.82","-8.87","-2.98"
"5.4540405","-0.82","-9.92","-3.61"
"5.5549927","0.0","-10.94","-3.84"
"5.656006","-0.59","-9.61","-3.18"
"5.757019","-0.31","-8.55","-5.1"
"5.858032","0.16","-8.43","-5.57"
"5.9589844","0.47","-8.24","-4.98"
"6.0599976","-1.02","-9.3","-5.02"
"6.1610107","-0.71","-8.59","-5.14"
"6.262024","-0.31","-8.71","-5.84"
"6.363037","-0.31","-10.67","-5.41"
"6.4639893","1.65","-8.67","-5.88"
"6.5650024","1.77","-8.28","-4.35"
"6.6660156","0.98","-10.4","-5.18"
"6.767029","-0.04","-7.92","-3.96"
"6.868042","-2.67","-9.69","-4.98"
"6.968994","-3.41","-8.79","-6.08"
"7.0700073","-6.35","-9.69","-6.32"
"7.1710205","-7.88","-9.02","-7.49"
"7.2720337","-5.65","-8.16","-7.73"
"7.372986","-3.92","-5.45","-5.3"
"7.473999","-5.45","-2.82","-5.88"
"7.575012","-8.08","-2.31","-2.59"
"7.6760254","-9.49","-1.57","-1.45"
"7.7770386","-10.12","-0.9","0.24"
"7.8779907","-10.83","-1.92","0.04"
"7.979004","-9.92","-1.69","0.16"
"8.080017","-11.3","-4.28","1.73"
"8.18103","-8.98","-3.14","0.43"
"8.282043","-9.69","-3.69","-0.39"
"8.382996","-7.81","-1.77","0.24"
"8.484009","-12.32","-5.61","6.9"
"8.585022","-9.85","-3.96","1.92"
"8.686035","-8.67","-1.14","-0.47"
"8.786987","-9.73","-2.75","2.2"
"8.8880005","-10.32","-2.47","1.33"
"8.989014","-10.94","-2.67","0.16"
"9.090027","-9.81","-3.3","1.41"
"9.19104","-9.96","-3.1","1.18"
"9.291992","-9.57","-2.9","0.94"
"9.393005","-8.75","-2.39","1.18"
"9.494019","-11.06","-5.45","3.26"
"9.595032","-8.63","-2.71","0.75"
"9.695984","-8.43","-1.65","-1.1"
"9.796997","-9.85","-2.79","-0.24"
"9.89801","-10.24","-3.96","1.49"
"9.999023","-10.12","-3.8","0.86"
"10.100037","-9.53","-3.49","1.06"
"10.200989","-8.75","-3.65","0.31"
"10.302002","-11.1","-4.47","1.77"
"10.403015","-8.83","-2.31","0.35"
"10.504028","-9.89","-2.67","0.27"
"10.6050415","-9.73","-2.82","0.24"
"10.705994","-9.96","-2.82","0.2"
"10.807007","-10.0","-3.02","0.35"
"10.90802","-9.89","-3.02","0.47"
"11.009033","-10.0","-3.33","0.27"
"11.109985","-9.73","-3.3","0.55"
"11.210999","-9.69","-3.77","0.82"
"11.312012","-10.12","-4.2","1.73"
"11.413025","-10.32","-4.16","0.98"
"11.514038","-9.14","-2.55","-0.12"
"11.61499","-10.0","-2.75","0.04"
"11.716003","-10.16","-2.67","0.27"
"11.817017","-10.0","-2.86","-0.39"
"11.91803","-10.36","-2.75","-0.43"
